file	rc	verdict	give_up_kind	give_up_detail	cause_class	bound_by	last	bound_ms	total_ms	attempts	board_ax_s	z3	cvc5
etcs_braking_2.01.redlog_global_15	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] nonlinear abstraction: 638 cross-products project to 13652 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	[carried] [ResourceLimit] nonlinear abstraction: N cross-products project to N linear-real atoms, pa	nra	fd:bounded-completeness-unsat	24053	24310	14	24.44	unknown	unsat
kissing_4_8	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] auto-dispatch timeout after exact real-polynomial route	[carried] [Timeout] auto-dispatch timeout after exact real-polynomial route	nra-real-root	fd:bounded-completeness-unsat	24333	24338	14	24.44	unknown	sat
CMOS-opamp-chunk-0071	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	612	615	15	0.71	unsat	unsat
CMOS-opamp-chunk-0146	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	607	611	14	1.81	unsat	unsat
CMOS-opamp-chunk-0295	0	unknown	ResourceLimit	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	nra	fd:bounded-completeness-unsat	2264	2270	15	3.41	unsat	unsat
Chua-1-IL-U-chunk-0075	0	unknown	Incomplete	query contains an integer literal outside the i128 reference range; no route has opted into wide integer constants (ADR-1702 slice 2)	query contains an integer literal outside the iN reference range; no route has opted into wide integ	fd:parse	fd:bounded-completeness-unsat	0	1	12	0.11	sat	sat
Chua-1-VC1-L-chunk-0080	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	697	699	14	0.71	unsat	unsat
Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0040	0	unknown	Incomplete	query contains an integer literal outside the i128 reference range; no route has opted into wide integer constants (ADR-1702 slice 2)	query contains an integer literal outside the iN reference range; no route has opted into wide integ	fd:parse	fd:bounded-completeness-unsat	0	0	12	1.61	sat	sat
Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160	0	unknown	Incomplete	query contains an integer literal outside the i128 reference range; no route has opted into wide integer constants (ADR-1702 slice 2)	query contains an integer literal outside the iN reference range; no route has opted into wide integ	fd:parse	fd:bounded-completeness-unsat	0	1	12	1.61	unsat	unsat
RL-high-pass-circuit-gain-chunk-0012	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	3205	3210	15	2.41	unsat	unsat
atan-problem-2-chunk-0014	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12309	12312	16	4.02	sat	sat
atan-problem-2-weak-chunk-0018	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	11265	11267	15	4.11	sat	sat
atan-problem-2-weak-chunk-0089	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12304	12307	15	3.82	sat	sat
atan-problem-2-weak-chunk-0159	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12345	12349	15	6.52	sat	sat
atan-vega-3-chunk-0242	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	2616	2644	15	2.31	unsat	unsat
atan-vega-3-chunk-0545	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	3401	3518	15	4.52	unsat	unsat
atan-vega-3-weak-chunk-0243	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	4298	4301	14	1.61	sat	sat
atan-vega-3-weak-chunk-0388	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	7923	7926	14	11.32	unsat	unsat
atan-vega-3-weak-chunk-0653	0	unknown	ResourceLimit	nonlinear abstraction: 58 cross-products project to 1149 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra abstraction: past the LRA atom capacity (needs nlsat/CAD)	nra	fd:bounded-completeness-unsat	1035	1040	14	2.71	sat	sat
exp-problem-10-2-chunk-0017	0	unknown	ResourceLimit	nonlinear abstraction: refinement round bound reached (raise the budget to attempt more)	nra abstraction: refinement round bound	nra	fd:bounded-completeness-unsat	3868	3882	16	4.32	sat	sat
exp-problem-10-2-chunk-0266	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	4086	4090	15	2.71	unsat	unsat
exp-problem-10-3-chunk-0139	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy SMT: wall-clock timeout reached	[carried] [ResourceLimit] lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	23599	24006	15	24.04	sat	sat
exp-problem-10-3-weak-chunk-0016	0	unknown	Watchdog	watchdog fired before the worker thread returned	watchdog fired before the worker returned			0	0	0	25.03	unsat	unsat
exp-problem-10-3-weak-chunk-0081	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy SMT: wall-clock timeout reached	[carried] [ResourceLimit] lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	24008	24014	15	1.11	unsat	unsat
exp-problem-10-3-weak-chunk-0142	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy SMT: wall-clock timeout reached	[carried] [ResourceLimit] lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	20139	24005	15	23.33	sat	sat
exp-problem-10-3-weak-chunk-0204	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12246	12380	15	12.52	unsat	unsat
polypaver-bench-exp-3d-chunk-0105	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	10027	10033	15	7.42	unsat	unsat
polypaver-sqrt43-int-3vars-chunk-0046	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12330	12340	15	18.53	sat	sat
sin-cos-346-b-chunk-0147	0	unknown	ResourceLimit	nonlinear abstraction: refinement round bound reached (raise the budget to attempt more)	nra abstraction: refinement round bound	nra	fd:bounded-completeness-unsat	17696	17697	15	15.93	unsat	unsat
sin-cos-346-b-chunk-0227	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	4194	4197	14	4.31	sat	sat
sin-cos-346-b-chunk-0291	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	3874	3879	14	3.62	sat	sat
sin-cos-346-b-chunk-0353	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	4155	4159	14	4.62	sat	sat
sin-cos-346-b-chunk-0419	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	651	658	15	0.71	unsat	unsat
sin-cos-346-b-chunk-0479	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	1151	1156	14	1.11	sat	sat
sin-cos-346-b-chunk-0543	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12285	12290	14	12.42	sat	sat
sin-problem-7-chunk-0124	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12277	12282	14	1.21	sat	sat
sin-problem-7-chunk-0203	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	2779	2785	15	3.91	sat	sat
sin-problem-7-weak-chunk-0131	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	2075	2075	14	6.62	sat	sat
sin-problem-7-weak2-chunk-0129	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	1635	1638	14	2.41	unsat	unknown
sin-problem-8-weak-chunk-0050	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	110	167	15	0.21	sat	sat
sqrt-1mcosq-8-chunk-0228	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12317	12319	14	12.52	sat	sat
sqrt-1mcosq-8-chunk-0291	0	unknown	ResourceLimit	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	nra	fd:bounded-completeness-unsat	1398	1400	14	1.71	unsat	unsat
sqrt-1mcosq-8-chunk-0354	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	39	48	15	0.11	unsat	unsat
sqrt-1mcosq-8-chunk-0421	0	unknown	Incomplete	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	nra	fd:bounded-completeness-unsat	12108	12111	14	0.21	sat	sat
sqrt-1mcosq-8-chunk-0562	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	656	663	15	3.11	sat	sat
sqrt-1mcosq-8-chunk-0695	0	unknown	ResourceLimit	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	nra	fd:bounded-completeness-unsat	1359	1371	15	1.61	sat	sat
sqrt-circles-3-chunk-0021	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12306	12314	15	12.42	unsat	unsat
sqrt-problem-12vars3-chunk-0089	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	8417	8568	15	9.32	unsat	unsat
