# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTARG-CENSUS line>
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.adb_111_34_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.adb_33_26_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.ads_21_14_postcondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K930-012__post__p.ads_6_36_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/KB04-013__expr_action__search.adb_13_61_overflow_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/KB25-003__slices__pack.adb_65_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
F	AUFDTLIRA/20200306-Kanig/spark2014bench/L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	22	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	24	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/L831-003__not_in__lcp.ads_9_54_index_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/L831-003__not_in__lcp.ads_9_54_index_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/LB28-004__loop_variant__p.adb_10_12_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/LB28-004__loop_variant__p.adb_85_7_loop_variant___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/M301-012__array_of_iter__iter_array.adb_21_19_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
F	AUFDTLIRA/20200306-Kanig/spark2014bench/M318-019__expanded_name__p.adb_8_44_index_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M318-019__expanded_name__p.adb_8_44_index_check___00.smt2	16	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/M503-001__typinv__aggregates.ads_21_9_invariant_check_on_default_value___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/M607-025__rev_stack__list.ads_13_36_precondition2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M607-025__rev_stack__list.ads_13_36_precondition2___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M607-025__rev_stack__list.ads_13_36_precondition2___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M607-025__rev_stack__list.ads_13_36_precondition2___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=1 dt_result_inexact=1 args=7 sym_exact=0 sym_inexact=1 ctor_exact=2 ctor_inexact=2 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M607-025__rev_stack__list.ads_13_36_precondition2___00.smt2	4	DTARG-CENSUS pairs=25 dt_result=2 dt_result_inexact=1 args=24 sym_exact=0 sym_inexact=1 ctor_exact=2 ctor_inexact=17 apply_exact=2 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M607-025__rev_stack__list.ads_13_36_precondition2___00.smt2	2	DTARG-CENSUS pairs=716 dt_result=2 dt_result_inexact=1 args=95 sym_exact=0 sym_inexact=15 ctor_exact=2 ctor_inexact=51 apply_exact=25 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__list.adb_25_35_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__list.adb_25_35_overflow_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__list.adb_25_35_overflow_check___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__list.adb_25_35_overflow_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__list.adb_25_35_overflow_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=2 dt_result_inexact=0 args=5 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=4 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__list.adb_25_35_overflow_check___00.smt2	2	DTARG-CENSUS pairs=3 dt_result=2 dt_result_inexact=0 args=13 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=10 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/M613-053__wp__sorters_not_global.adb_76_40_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/M806-034__array_logical_op__array_logical_ops.adb_22_37_length_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M806-034__array_logical_op__array_logical_ops.adb_22_37_length_check___00.smt2	6	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/M806-034__concat__concat_left.adb_12_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M806-034__concat__concat_left.adb_12_22_assert___00.smt2	39	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/M830-004__checks__do_checks.adb_23_24_range_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/M830-004__checks__do_checks.adb_440_30_discriminant_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/M830-004__checks__do_checks.adb_440_30_discriminant_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/MA11-009__invariant__kmp.adb_16_17_loop_invariant_preserv___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/MA11-009__invariant__kmp.adb_16_17_loop_invariant_preserv___00.smt2	20	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/MB20-049__old_in_contract_cases__example.ads_7_62_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/MC06-031__dynamic_discrete__dynamic_ranges.adb_50_17_range_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/MC06-031__dynamic_discrete__dynamic_ranges.adb_50_17_range_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N120-055__perm__sort.adb_48_22_precondition___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N120-055__perm__sort.adb_48_22_precondition___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N217-028__update_checks__ar.adb_55_45_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N228-005__update_unconstr_array__update_checks_1.adb_51_9_length_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N228-005__update_unconstr_array__update_checks_1.adb_51_9_length_check___00.smt2	16	DTARG-CENSUS pairs=0 dt_result=1 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N325-022__volatile_slices__vs.adb_24_16_range_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N513-017__slice__sorters.adb_42_50_overflow_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N513-017__slice__sorters.adb_42_50_overflow_check___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N523-032__hello__hello.adb_30_23_index_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N523-032__hello__hello.adb_30_23_index_check___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N530-032__swap__sorters.adb_60_25_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N530-032__swap__sorters.adb_60_25_assert___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N530-032__swap__sorters.adb_60_25_assert___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N602-053__update__sorters.adb_39_13_loop_invariant_init___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N602-053__update__sorters.adb_39_13_loop_invariant_init___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N611-014__split_records__split_records.adb_21_39_discriminant_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N611-014__split_records__split_records.adb_21_39_discriminant_check___00.smt2	5	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N611-014__static_discr__static_discr.adb_78_30_index_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N611-014__static_discr__static_discr.adb_78_30_index_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N613-027__transitive__sorters.adb_59_20_range_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N613-027__transitive__sorters.adb_59_20_range_check___00.smt2	17	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N617-013__vscomp2014__p.adb_9_36_loop_invariant_init___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	16	DTARG-CENSUS pairs=2 dt_result=1 dt_result_inexact=0 args=10 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	4	DTARG-CENSUS pairs=2 dt_result=1 dt_result_inexact=0 args=6 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	2	DTARG-CENSUS pairs=152 dt_result=0 dt_result_inexact=0 args=44 sym_exact=26 sym_inexact=0 ctor_exact=18 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	8	DTARG-CENSUS pairs=2 dt_result=0 dt_result_inexact=0 args=6 sym_exact=0 sym_inexact=0 ctor_exact=6 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	2	DTARG-CENSUS pairs=80 dt_result=0 dt_result_inexact=0 args=30 sym_exact=16 sym_inexact=0 ctor_exact=14 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	4	DTARG-CENSUS pairs=90 dt_result=0 dt_result_inexact=0 args=20 sym_exact=16 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	4	DTARG-CENSUS pairs=12 dt_result=2 dt_result_inexact=1 args=29 sym_exact=16 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	4	DTARG-CENSUS pairs=130 dt_result=2 dt_result_inexact=1 args=67 sym_exact=40 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=26 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	6	DTARG-CENSUS pairs=2 dt_result=2 dt_result_inexact=1 args=15 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=6 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	8	DTARG-CENSUS pairs=33 dt_result=2 dt_result_inexact=1 args=41 sym_exact=22 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=18 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	4	DTARG-CENSUS pairs=12 dt_result=1 dt_result_inexact=0 args=12 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=8 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	8	DTARG-CENSUS pairs=22 dt_result=1 dt_result_inexact=0 args=18 sym_exact=6 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	2	DTARG-CENSUS pairs=88 dt_result=1 dt_result_inexact=0 args=30 sym_exact=18 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=12 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
