arm	population	file	decided_by	bound_by	last	terminal_bucket	terminal_detail
default	original	R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	none	q:skolem-qf	fd:bounded-completeness-unsat	auto.rs:8527	term #259 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast; and no rung below the datatype route decided it either: non-bit-vector array sorts are represented in IR, but this shape is outside the current Bool/Int lazy array route
default	original	S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #1 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(10), index: 0 }
default	original	S531-010__loop_frame_condition__do_loops.adb_131_19_index_check___00.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #28 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(16), index: 0 }
default	original	S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022); and no rung below the datatype route decided it either: term #28 uses unsupported pure-Rust BV operator DtSelect { constructor: ConstructorId(16), index: 0 }
propagate	core	AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_118_8_use_formal_vectors.ads_10_4_predicate_check___00.smt2.core.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022)
propagate	original	S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022)
propagate	original	S531-010__loop_frame_condition__do_loops.adb_47_13_index_check___00.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022)
propagate	core	AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2.core.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022)
propagate	core	AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2.core.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022)
propagate	original	N624-020__perm_rem__perm.adb_130_45_index_check2___00.smt2	none	uf-arithmetic	dispatch-error	sat_bv_backend.rs:122	unsupported by backend: term #14 has sort (Datatype 11) that the pure-Rust BV backend cannot bit-blast
propagate	original	R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	none	q:skolem-qf	fd:bounded-completeness-unsat	auto.rs:8527	non-bit-vector array sorts are represented in IR, but this shape is outside the current Bool/Int lazy array route
propagate	original	S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022)
propagate	original	S531-010__loop_frame_condition__do_loops.adb_131_19_index_check___00.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022)
propagate	original	S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2	none	fd:parse	dispatch-error	datatype_native.rs:1511	unsupported by backend: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no datatype) (ADR-0022)
