division	file	n_assert	n_quant_assert	sk_top	sk_conj	sk_deep	sk_under_let	sk_needs_function	macro_def	macro_def_distinct	macro_unit	macro_quasi	macro_reject_occurs	macro_reject_coverage	undecided
UFLIA	UFLIA/boogie/Quantifiers_V1-noinfer.smt2	28	25	0	0	0	0	0	1	1	0	0	0	4	0
UFLIA	UFLIA/boogie/Spouse_Person..ctor.smt2	261	126	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/StrictReadOnly_C1.Z1.smt2	271	139	0	0	2	0	2	4	4	0	0	0	23	1
UFLIA	UFLIA/boogie/StructTests_St.S_System.Int32.ptr_System.Int32.ptr-level_2.smt2	189	126	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/Unsigned_test.Conversions_System.UInt32_System.Double.smt2	194	127	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/boogie/WhereMotivation_Types.MLoop0.smt2	226	124	0	0	0	0	0	4	4	0	0	0	22	1
UFLIA	UFLIA/grasshopper/instantiated/delete_check_heap_access_53_12.smt2	246	69	0	0	0	0	0	0	0	0	0	0	0	1
UFLIA	UFLIA/grasshopper/instantiated/insertion_sort_postcondition_of_insertion_sort_63_1.smt2	116	56	0	0	0	0	0	0	0	0	0	0	0	1
UFLIA	UFLIA/grasshopper/instantiated/reverse_loop_check_heap_access_35_4.smt2	48	25	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA	UFLIA/grasshopper/instantiated/union_check_heap_access_38_21.smt2	61	23	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA	UFLIA/grasshopper/uninstantiated/difference_check_heap_access_41_8.smt2	67	39	0	0	0	0	0	0	0	0	0	0	1	0
UFLIA	UFLIA/grasshopper/uninstantiated/merge_loop_check_heap_access_60_6.smt2	64	32	0	0	0	0	0	0	0	0	0	0	2	1
UFLIA	UFLIA/grasshopper/uninstantiated/sls_insert_loop_check_heap_access_38_6.smt2	49	25	0	0	0	0	0	0	0	0	0	0	1	0
UFLIA	UFLIA/misc/list4.smt2	6	5	1	0	0	0	0	0	0	0	0	0	4	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.AmbiguousVariableAccess.004.smt2	589	90	0	0	0	0	0	10	10	0	0	0	18	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.BinaryExpr.010.smt2	591	90	0	0	0	0	0	10	10	0	0	0	18	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.CatchClauseVec.004.smt2	159	87	0	0	0	0	0	10	10	0	0	0	15	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.001.smt2	599	90	0	0	0	0	0	10	10	0	0	0	18	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.ConstructorDecl.007.smt2	601	90	0	0	0	0	0	10	10	0	0	0	18	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	393	90	0	0	0	0	0	10	10	0	0	0	18	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.DelegatingPrettyPrint.010.smt2	168	85	0	0	0	0	0	10	10	0	0	0	13	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.ExprVec.004.smt2	159	87	0	0	0	0	0	10	10	0	0	0	15	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.009.smt2	593	90	0	0	0	0	0	10	10	0	0	0	18	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.Identifier.010.smt2	202	88	0	0	0	0	0	10	10	0	0	0	16	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.ImportDeclVec.015.smt2	159	87	0	0	12	1	0	10	10	0	0	0	15	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.011.smt2	591	90	0	0	0	0	0	10	10	0	0	0	18	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.MethodDecl.005.smt2	601	90	0	0	0	0	0	10	10	0	0	0	18	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.Modifiers.012.smt2	138	84	0	0	0	0	0	10	10	0	0	0	13	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.ParenExpr.006.smt2	589	90	0	0	0	0	0	10	10	0	0	0	18	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.RoutineDecl.002.smt2	133	83	0	0	0	0	0	10	10	0	0	0	11	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.008.smt2	633	92	0	0	0	0	0	10	10	0	0	0	20	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	589	90	0	0	0	0	0	10	10	0	0	0	18	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.ThrowStmt.004.smt2	589	90	0	0	0	0	0	10	10	0	0	0	18	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.TypeDeclElemVec.006.smt2	154	87	0	0	0	0	0	10	10	0	0	0	15	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.TypeModifierPragmaVec.013.smt2	157	87	0	0	9	0	1	10	10	0	0	0	15	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.TypeObjectDesignator.010.smt2	591	90	0	0	0	0	0	10	10	0	0	0	18	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.VariableAccess.001.smt2	591	90	0	0	0	0	0	10	10	0	0	0	18	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.Visitor.041.smt2	278	84	0	0	0	0	0	10	10	0	0	0	13	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.VisitorArgResult.016.smt2	278	84	0	0	0	0	0	10	10	0	0	0	13	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.ast.VisitorArgResult.067.smt2	278	84	0	0	0	0	0	10	10	0	0	0	13	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.filespace.HashTree.001.smt2	116	84	0	0	3	0	0	10	10	0	0	0	12	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.filespace.Resolve.010.smt2	156	87	0	0	0	0	0	10	10	0	0	0	15	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.filespace.ZipTree.005.smt2	180	87	0	0	0	0	0	10	10	0	0	0	15	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.parser.Parse.005.smt2	376	123	0	0	0	3	0	10	10	0	0	0	18	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.parser.TagConstants.001.smt2	392	85	0	0	0	0	0	10	10	0	0	0	13	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.030.smt2	588	90	0	0	0	0	0	10	10	0	0	0	18	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.PrintSpec.012.smt2	230	89	0	0	0	0	0	10	10	0	0	0	14	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.reader.CachedReader.003.smt2	127	84	0	0	0	0	0	10	10	0	0	0	12	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.tc.ConstantExpr.001.smt2	623	91	0	0	0	0	0	10	10	0	0	0	19	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.tc.EnvForLocals.007.smt2	252	86	0	0	0	0	0	10	10	0	0	0	14	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.017.smt2	673	91	0	0	0	0	0	10	10	0	0	0	19	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.tc.OutsideEnv.011.smt2	268	88	0	0	0	0	0	10	10	0	0	0	16	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.tc.Types.035.smt2	626	92	0	0	0	0	0	10	10	0	0	0	20	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.001.smt2	689	94	0	0	0	0	0	10	10	0	0	0	22	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.tc.TypeSigVec.005.smt2	191	87	0	0	4	1	0	10	10	0	0	0	15	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.test.SuperlinksTest.004.smt2	185	87	0	0	0	0	0	10	10	0	0	0	12	1
UFLIA	UFLIA/simplify2/front_end_suite/javafe.util.ErrorSet.009.smt2	163	86	0	0	0	0	0	10	10	0	0	0	14	0
UFLIA	UFLIA/simplify2/front_end_suite/javafe.util.LocationManagerCorrelatedReader.011.smt2	168	86	0	0	0	0	0	10	10	0	0	0	14	0
UFLIA	UFLIA/simplify2/front_end_suite/tohtml.DeclLinks.009.smt2	267	86	0	0	0	0	0	10	10	0	0	0	14	0
UFLIA	UFLIA/simplify2/small_suite/getRootInterface.smt2	660	94	0	0	0	1	0	10	10	0	0	0	19	1
UFLIA	UFLIA/simplify/javafe.ast.CatchClauseVec.66.smt2	86	75	0	0	6	0	0	0	0	0	0	0	9	1
UFLIA	UFLIA/simplify/javafe.ast.DelegatingPrettyPrint.117.smt2	86	75	0	0	0	0	0	0	0	0	0	0	9	0
UFLIA	UFLIA/simplify/javafe.ast.GenericBlockStmt.168.smt2	86	74	0	0	0	0	0	0	0	0	0	0	9	0
UFLIA	UFLIA/simplify/javafe.ast.LexicalPragmaVec.219.smt2	86	75	0	0	4	0	0	0	0	0	0	0	9	1
UFLIA	UFLIA/simplify/javafe.ast.NewInstanceExpr.271.smt2	86	75	0	0	0	0	0	0	0	0	0	0	9	1
UFLIA	UFLIA/simplify/javafe.ast.StandardPrettyPrint.322.smt2	86	75	0	0	0	0	0	0	0	0	0	0	9	1
UFLIA	UFLIA/simplify/javafe.ast.TypeDeclElemPragma.373.smt2	86	74	0	0	1	0	0	0	0	0	0	0	9	1
UFLIA	UFLIA/simplify/javafe.ast.UnaryExpr.424.smt2	86	75	0	0	2	0	0	0	0	0	0	0	9	1
UFLIA	UFLIA/simplify/javafe.filespace.LookAheadEnum.474.smt2	86	74	0	0	0	0	0	0	0	0	0	0	9	0
UFLIA	UFLIA/simplify/javafe.filespace.ZipTree.525.smt2	86	75	0	0	0	0	0	0	0	0	0	0	9	0
UFLIA	UFLIA/simplify/javafe.parser.TokenQueue.576.smt2	86	75	0	0	0	0	0	0	0	0	0	0	9	0
UFLIA	UFLIA/simplify/javafe.reader.StandardTypeReader.628.smt2	86	75	0	0	0	0	0	0	0	0	0	0	9	0
UFLIA	UFLIA/simplify/javafe.SrcTool.15.smt2	86	75	0	0	0	0	0	0	0	0	0	0	9	0
UFLIA	UFLIA/simplify/javafe.tc.FlowInsensitiveChecks.679.smt2	86	75	0	0	3	0	0	0	0	0	0	0	9	1
UFLIA	UFLIA/simplify/javafe.tc.TypeSig.730.smt2	86	75	0	0	13	0	0	0	0	0	0	0	9	1
UFLIA	UFLIA/simplify/javafe.util.ErrorSet.781.smt2	86	75	0	0	0	0	0	0	0	0	0	0	9	0
UFLIA	UFLIA/simplify/tohtml.Java2Html.832.smt2	86	75	0	0	0	5	0	0	0	0	0	0	9	1
UFLIA	UFLIA/sledgehammer/Arrow_Order/smtlib.650920.smt2	330	322	1	0	94	0	94	0	0	0	0	0	30	1
UFLIA	UFLIA/sledgehammer/Arrow_Order/smtlib.775208.smt2	273	268	3	0	69	0	69	0	0	0	0	0	21	1
UFLIA	UFLIA/sledgehammer/Arrow_Order/smtlib.832901.smt2	514	475	11	0	95	0	90	0	0	0	2	0	82	1
UFLIA	UFLIA/sledgehammer/FFT/smtlib.1015458.smt2	448	428	0	0	12	0	12	0	0	0	0	0	154	0
UFLIA	UFLIA/sledgehammer/FFT/smtlib.594705.smt2	69	67	0	0	0	0	0	0	0	0	0	0	8	1
UFLIA	UFLIA/sledgehammer/FFT/smtlib.725125.smt2	130	127	0	0	0	0	0	0	0	0	0	0	31	1
UFLIA	UFLIA/sledgehammer/FFT/smtlib.898060.smt2	179	156	0	0	8	0	8	0	0	0	0	0	20	1
UFLIA	UFLIA/sledgehammer/FFT/smtlib.994522.smt2	12	6	0	0	0	0	0	0	0	0	0	0	3	0
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1057395.smt2	456	433	0	0	24	0	24	0	0	0	0	0	127	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1127270.smt2	147	139	3	0	8	0	7	0	0	0	0	0	56	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1185183.smt2	456	434	5	0	15	0	12	0	0	0	0	0	116	0
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1234945.smt2	456	402	1	0	6	0	2	0	0	0	0	0	133	0
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1282463.smt2	456	439	0	0	22	0	20	0	0	0	0	0	163	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1331541.smt2	267	239	0	0	25	0	25	0	0	0	2	0	78	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1372826.smt2	332	292	0	0	5	0	1	0	0	0	0	0	104	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1419033.smt2	333	314	0	0	22	0	22	0	0	0	0	0	116	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1462528.smt2	42	40	0	0	1	0	0	0	0	0	0	0	10	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1523261.smt2	455	422	0	0	7	0	7	0	0	0	0	0	120	0
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.596470.smt2	48	34	0	0	1	0	0	0	0	0	0	0	8	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.651310.smt2	268	256	0	0	15	0	15	0	0	0	0	0	107	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.718896.smt2	448	432	6	0	121	0	119	0	0	0	0	0	24	0
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.775573.smt2	128	109	1	0	3	0	1	0	0	0	0	0	35	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.824330.smt2	287	267	2	0	11	0	10	0	0	0	0	0	96	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.874641.smt2	455	446	0	0	8	0	8	0	0	0	0	0	124	0
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.932420.smt2	456	420	3	0	5	0	3	0	0	0	0	0	89	1
UFLIA	UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.972059.smt2	358	308	7	0	8	0	3	0	0	0	0	0	109	1
UFLIA	UFLIA/sledgehammer/Hoare/smtlib.1019713.smt2	357	337	0	0	1	0	1	0	0	0	0	0	66	1
UFLIA	UFLIA/sledgehammer/Hoare/smtlib.1095947.smt2	522	511	0	0	35	0	35	0	0	0	0	0	83	1
UFLIA	UFLIA/sledgehammer/Hoare/smtlib.1175889.smt2	536	521	0	0	29	0	29	0	0	0	0	0	110	1
UFLIA	UFLIA/sledgehammer/Hoare/smtlib.581330.smt2	11	8	0	0	1	0	1	0	0	0	0	0	2	1
UFLIA	UFLIA/sledgehammer/Hoare/smtlib.660667.smt2	78	75	0	0	7	0	7	0	0	0	0	0	17	1
UFLIA	UFLIA/sledgehammer/Hoare/smtlib.755963.smt2	115	110	1	0	13	0	12	0	0	0	0	0	17	1
UFLIA	UFLIA/sledgehammer/Hoare/smtlib.820036.smt2	122	115	0	0	8	0	8	0	0	0	0	0	19	0
UFLIA	UFLIA/sledgehammer/Hoare/smtlib.894255.smt2	210	201	1	0	27	0	26	1	1	0	0	0	30	1
UFLIA	UFLIA/sledgehammer/Hoare/smtlib.993567.smt2	499	482	0	0	48	0	48	0	0	0	0	0	40	1
UFLIA	UFLIA/sledgehammer/NS_Shared/smtlib.657037.smt2	478	467	0	0	21	0	20	0	0	0	0	0	62	0
UFLIA	UFLIA/sledgehammer/NS_Shared/smtlib.803649.smt2	499	482	0	0	14	0	14	0	0	0	0	0	86	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.1005883.smt2	369	355	0	0	43	0	43	0	0	0	0	0	127	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.1065390.smt2	504	474	0	0	58	0	58	2	2	0	1	0	147	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.1120322.smt2	368	348	0	0	79	0	79	0	0	0	0	0	68	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.1180449.smt2	505	475	0	0	62	0	62	2	2	0	1	0	149	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.1237382.smt2	5	4	1	0	1	0	1	0	0	0	0	0	0	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.609781.smt2	76	66	0	0	1	0	0	0	0	0	0	0	15	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.670697.smt2	169	165	0	0	0	0	0	0	0	0	0	0	36	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.730254.smt2	253	244	0	0	6	0	6	0	0	0	0	0	60	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.783502.smt2	509	482	1	0	49	0	48	1	1	0	1	0	166	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.830613.smt2	379	348	1	0	10	0	7	0	0	0	0	0	12	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.876524.smt2	133	111	1	0	3	0	1	0	0	0	0	0	13	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.927783.smt2	463	442	1	0	60	0	57	0	0	0	0	0	79	1
UFLIA	UFLIA/sledgehammer/QEpres/smtlib.990093.smt2	113	104	0	0	13	0	13	0	0	0	0	0	15	1
UFLIA	UFLIA/sledgehammer/StrongNorm/smtlib.613065.smt2	500	475	0	0	48	0	48	1	1	0	2	0	143	1
UFLIA	UFLIA/sledgehammer/StrongNorm/smtlib.686273.smt2	499	474	0	0	53	0	53	0	0	0	0	0	138	1
UFLIA	UFLIA/sledgehammer/StrongNorm/smtlib.749048.smt2	103	82	0	0	7	0	5	0	0	0	0	0	11	1
UFLIA	UFLIA/sledgehammer/StrongNorm/smtlib.812524.smt2	134	118	0	0	25	0	24	0	0	0	0	0	22	1
UFLIA	UFLIA/sledgehammer/StrongNorm/smtlib.889061.smt2	456	434	0	0	61	0	61	0	0	0	0	0	81	0
UFLIA	UFLIA/sledgehammer/TwoSquares/smtlib.618605.smt2	285	275	0	0	1	0	1	0	0	0	0	0	31	0
UFLIA	UFLIA/sledgehammer/TwoSquares/smtlib.672156.smt2	278	255	1	0	6	0	3	0	0	0	0	0	33	1
UFLIA	UFLIA/sledgehammer/TwoSquares/smtlib.711545.smt2	279	257	1	0	6	0	3	0	0	0	0	0	34	1
UFLIA	UFLIA/sledgehammer/TwoSquares/smtlib.753723.smt2	130	97	1	0	10	0	1	0	0	0	0	0	9	1
UFLIA	UFLIA/sledgehammer/TwoSquares/smtlib.788343.smt2	8	3	0	0	0	0	0	0	0	0	0	0	1	0
UFLIA	UFLIA/sledgehammer/TwoSquares/smtlib.821153.smt2	134	88	1	0	9	0	0	0	0	0	0	0	11	1
UFLIA	UFLIA/sledgehammer/TwoSquares/smtlib.851746.smt2	6	3	0	0	0	0	0	0	0	0	0	0	1	0
UFLIA	UFLIA/sledgehammer/TwoSquares/smtlib.881298.smt2	5	3	0	0	0	0	0	0	0	0	0	0	1	0
UFLIA	UFLIA/sledgehammer/TwoSquares/smtlib.916972.smt2	296	265	1	0	6	0	1	0	0	0	0	0	39	0
UFLIA	UFLIA/sledgehammer/TypeSafe/smtlib.1133139.smt2	359	321	0	0	79	0	79	0	0	0	0	0	18	1
UFLIA	UFLIA/sledgehammer/TypeSafe/smtlib.704617.smt2	332	324	0	0	91	0	91	0	0	0	0	0	12	1
UFLIA	UFLIA/sledgehammer/TypeSafe/smtlib.822202.smt2	334	331	0	0	73	0	73	0	0	0	0	0	43	1
UFLIA	UFLIA/sledgehammer/TypeSafe/smtlib.952809.smt2	151	135	2	0	48	0	48	0	0	0	0	0	3	1
UFLIA	UFLIA/tokeneer/admintoken/clear-6.smt2	100	33	0	0	0	0	0	0	0	0	0	0	2	1
UFLIA	UFLIA/tokeneer/auditlog/addelementtofile-16.smt2	165	33	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/auditlog/addelementtologfile/addelementtonextfile/setcurrentfiletonextfreefile-4.smt2	58	26	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/auditlog/clearlogentries-11.smt2	184	42	0	0	4	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/auditlog/init-31.smt2	129	34	0	0	2	0	0	0	0	0	0	0	2	1
UFLIA	UFLIA/tokeneer/auditlog/truncatelog-1.smt2	107	32	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/cert_/attr_/priv/extract-1.smt2	252	40	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/certificatestore/updatestore-8.smt2	114	29	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/configdata/init/setdefaults-12.smt2	97	29	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/configdata/validatefile-11.smt2	81	29	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/configdata/validatefile/readclearance-1.smt2	66	27	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/configdata/validatefile/readworkinghours-4.smt2	73	21	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/configdata/writefile-8.smt2	171	37	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/display/updatedevice-1.smt2	169	41	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/enclave/adminlogout-5.smt2	152	37	0	0	0	0	0	0	0	0	0	0	2	1
UFLIA	UFLIA/tokeneer/enclave/enrolop-3.smt2	57	25	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/enclave/startadminactivity-7.smt2	104	33	0	0	0	0	0	0	0	0	0	0	2	1
UFLIA	UFLIA/tokeneer/enrolment/validate-11.smt2	71	24	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/enrolment/validate/validateandaddkey-8.smt2	152	33	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/keystore/digest-127.smt2	263	39	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/keystore/digest-173.smt2	279	40	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/keystore/digest-219.smt2	248	40	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/keystore/digest-36.smt2	249	38	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/keystore/digest-81.smt2	240	39	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/keystore/dofind-32.smt2	230	35	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/keystore/init-8.smt2	218	36	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/latch/updateinternallatch-5.smt2	115	33	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/screen/writealarms-9.smt2	95	29	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/screen/writestatsdata-4.smt2	122	26	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/tokenreader/getcertificate-11.smt2	150	46	0	0	1	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/tokenreader/init-38.smt2	265	54	0	0	6	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/tokenreader/poll/checkcardstate-7.smt2	193	52	0	0	6	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/userentry/progress-12.smt2	76	33	0	0	0	0	0	0	0	0	0	0	2	1
UFLIA	UFLIA/tokeneer/userentry/validateentry-8.smt2	186	42	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/usertoken/addauthcert-19.smt2	272	56	0	0	0	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tokeneer/usertoken/readandcheck/checkprivcert-2.smt2	146	39	0	0	1	0	0	0	0	0	0	0	2	0
UFLIA	UFLIA/tptp/NUM860=1.smt2	9	9	1	0	0	0	0	5	5	0	0	0	0	1
