class	reason	detail	body	params
NESTED	unresolved-outer-bound-var		(or (= localinv_ ownerFrame_) (= (select2 (store2 Heap_ this localinv_ System.Object) ?p_!11 ownerFrame_) (select2 Heap_ ?p_!11 ownerFrame_)))	["Heap_", "this", "localinv_", "?p_!11", "ownerFrame_", "System.Object"]
NESTED	unresolved-outer-bound-var		(or (= exposeVersion_ ownerFrame_) (= (select2 (store2 (store2 Heap_ this localinv_ System.Object) this exposeVersion_ temp0_0) ?p_!11 ownerFrame_) (select2 (store2 Heap_ this localinv_ System.Object) ?p_!11 ownerFrame_)))	["(store2 Heap_ this localinv_ System.Object)", "this", "exposeVersion_", "?p_!11", "ownerFrame_", "temp0_0"]
NESTED	unresolved-outer-bound-var		(or (= AssignToRepField.f ownerFrame_) (= (select2 (store2 (store2 Heap_0_ this exposeVersion_ temp0_0) this AssignToRepField.f nullObject) ?p_!11 ownerFrame_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerFrame_)))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "this", "AssignToRepField.f", "?p_!11", "ownerFrame_", "nullObject"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (= AssignToRepField.f localinv_) (= (select2 (store2 (store2 Heap_0_ this exposeVersion_ temp0_0) this AssignToRepField.f nullObject) this localinv_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) this localinv_)))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "this", "AssignToRepField.f", "this", "localinv_", "nullObject"]
NESTED	unresolved-outer-bound-var		(or (= localinv_ ownerFrame_) (= (select2 (store2 Heap_ this localinv_ System.Object) ?o_!12 ownerFrame_) (select2 Heap_ ?o_!12 ownerFrame_)))	["Heap_", "this", "localinv_", "?o_!12", "ownerFrame_", "System.Object"]
NESTED	unresolved-outer-bound-var		(or (= exposeVersion_ ownerFrame_) (= (select2 (store2 (store2 Heap_ this localinv_ System.Object) this exposeVersion_ temp0_0) ?o_!12 ownerFrame_) (select2 (store2 Heap_ this localinv_ System.Object) ?o_!12 ownerFrame_)))	["(store2 Heap_ this localinv_ System.Object)", "this", "exposeVersion_", "?o_!12", "ownerFrame_", "temp0_0"]
NESTED	unresolved-outer-bound-var		(or (= AssignToRepField.f ownerFrame_) (= (select2 (store2 (store2 Heap_0_ this exposeVersion_ temp0_0) this AssignToRepField.f nullObject) ?o_!12 ownerFrame_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?o_!12 ownerFrame_)))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "this", "AssignToRepField.f", "?o_!12", "ownerFrame_", "nullObject"]
NESTED	unresolved-outer-bound-var		(or (= localinv_ ownerFrame_) (= (select2 (store2 (store2 Heap_1_ this AssignToRepField.f nullObject) this localinv_ (typeof_ this)) ?o_!12 ownerFrame_) (select2 (store2 Heap_1_ this AssignToRepField.f nullObject) ?o_!12 ownerFrame_)))	["(store2 Heap_1_ this AssignToRepField.f nullObject)", "this", "localinv_", "?o_!12", "ownerFrame_", "(typeof_ this)"]
NESTED	unresolved-outer-bound-var		(or (= localinv_ ownerRef_) (= (select2 (store2 Heap_ this localinv_ System.Object) ?o_!12 ownerRef_) (select2 Heap_ ?o_!12 ownerRef_)))	["Heap_", "this", "localinv_", "?o_!12", "ownerRef_", "System.Object"]
NESTED	unresolved-outer-bound-var		(or (= exposeVersion_ ownerRef_) (= (select2 (store2 (store2 Heap_ this localinv_ System.Object) this exposeVersion_ temp0_0) ?o_!12 ownerRef_) (select2 (store2 Heap_ this localinv_ System.Object) ?o_!12 ownerRef_)))	["(store2 Heap_ this localinv_ System.Object)", "this", "exposeVersion_", "?o_!12", "ownerRef_", "temp0_0"]
NESTED	unresolved-outer-bound-var		(or (= AssignToRepField.f ownerRef_) (= (select2 (store2 (store2 Heap_0_ this exposeVersion_ temp0_0) this AssignToRepField.f nullObject) ?o_!12 ownerRef_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?o_!12 ownerRef_)))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "this", "AssignToRepField.f", "?o_!12", "ownerRef_", "nullObject"]
NESTED	unresolved-outer-bound-var		(or (= localinv_ ownerRef_) (= (select2 (store2 (store2 Heap_1_ this AssignToRepField.f nullObject) this localinv_ (typeof_ this)) ?o_!12 ownerRef_) (select2 (store2 Heap_1_ this AssignToRepField.f nullObject) ?o_!12 ownerRef_)))	["(store2 Heap_1_ this AssignToRepField.f nullObject)", "this", "localinv_", "?o_!12", "ownerRef_", "(typeof_ this)"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (= exposeVersion_ localinv_) (= (select2 (store2 (store2 Heap_ this localinv_ System.Object) this exposeVersion_ temp0_0) this localinv_) (select2 (store2 Heap_ this localinv_ System.Object) this localinv_)))	["(store2 Heap_ this localinv_ System.Object)", "this", "exposeVersion_", "this", "localinv_", "temp0_0"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(= (select2 (store2 Heap_ this localinv_ System.Object) this localinv_) System.Object)	["Heap_", "this", "localinv_", "System.Object"]
NESTED	unresolved-outer-bound-var		(or (= AssignToRepField.f ownerRef_) (= (select2 (store2 (store2 Heap_0_ this exposeVersion_ temp0_0) this AssignToRepField.f nullObject) ?p_!11 ownerRef_) (select2 (store2 Heap_0_ this exposeVersion_ temp0_0) ?p_!11 ownerRef_)))	["(store2 Heap_0_ this exposeVersion_ temp0_0)", "this", "AssignToRepField.f", "?p_!11", "ownerRef_", "nullObject"]
ADMITTED			(= (= (Is_ this AssignToRepField) Smt.true) (or (= this nullObject) (subtypes (typeof_ this) AssignToRepField)))	["this", "AssignToRepField"]
NESTED	unresolved-outer-bound-var		(or (= exposeVersion_ ownerRef_) (= (select2 (store2 (store2 Heap_ this localinv_ System.Object) this exposeVersion_ temp0_0) ?p_!11 ownerRef_) (select2 (store2 Heap_ this localinv_ System.Object) ?p_!11 ownerRef_)))	["(store2 Heap_ this localinv_ System.Object)", "this", "exposeVersion_", "?p_!11", "ownerRef_", "temp0_0"]
NESTED	unresolved-outer-bound-var		(or (= localinv_ ownerRef_) (= (select2 (store2 Heap_ this localinv_ System.Object) ?p_!11 ownerRef_) (select2 Heap_ ?p_!11 ownerRef_)))	["Heap_", "this", "localinv_", "?p_!11", "ownerRef_", "System.Object"]
NEVER-MATCHED	trigger-did-not-fire	args present, no rejection evidence in run	(or (= this nullObject) (not (= (select2 Heap_ this allocated_) Smt.true)) (not (= (select2 Heap_ this ownerRef_) (select2 Heap_ this ownerRef_))) (not (= (select2 Heap_ this ownerFrame_) (select2 Heap_ this ownerFrame_))) (not (or (not (= (select2 Heap_ this inv_) (typeof_ this))) (not (= (select2 Heap_ this localinv_) (typeof_ this))))))	["this"]
