path	status	int_symbols	src_nodes	mul_nodes	nonlinear_mul_nodes	max_degree	has_div	has_mod	has_abs	constant_width	max_constant	bound_width	bounded_symbols	unbounded_symbols	width	blast_nodes	blast_mul_nodes	mul_gates	divrem_nodes	divrem_gates	estimate	actual	note
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__firewire.t2__terminationS_13_0.smt2	unsat	1014	9078	2291	837	2	false	false	false	17	50001	3	8	1006	24	26029	4582	52784640	0	0	159601428		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__firewire.t2__terminationS_13_0.smt2	unsat	1014	9078	2291	837	2	false	false	false	17	50001	3	8	1006	28	26029	4582	71845760	0	0	216985296		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__firewire.t2__terminationS_13_0.smt2	unsat	1014	9078	2291	837	2	false	false	false	17	50001	3	8	1006	32	26029	4582	93839360	0	0	283166604		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unsat	439	4327	989	462	2	false	false	false	4	4	2	12	427	4	10383	1978	632960	0	0	1987953		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unsat	439	4327	989	462	2	false	false	false	4	4	2	12	427	8	10383	1978	2531840	0	0	7756089		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unsat	439	4327	989	462	2	false	false	false	4	4	2	12	427	12	10383	1978	5696640	0	0	17321985		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unsat	439	4327	989	462	2	false	false	false	4	4	2	12	427	16	10383	1978	10127360	0	0	30685641		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unsat	439	4327	989	462	2	false	false	false	4	4	2	12	427	20	10383	1978	15824000	0	0	47847057		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unsat	439	4327	989	462	2	false	false	false	4	4	2	12	427	24	10383	1978	22786560	0	0	68806233		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unsat	439	4327	989	462	2	false	false	false	4	4	2	12	427	28	10383	1978	31015040	0	0	93563169		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unsat	439	4327	989	462	2	false	false	false	4	4	2	12	427	32	10383	1978	40509440	0	0	122117865		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	321	3499	970	447	2	false	false	false	31	-1073741823	3	39	282	4								BLAST-ERROR: integer constant -14 does not fit in signed 4 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	321	3499	970	447	2	false	false	false	31	-1073741823	3	39	282	8								BLAST-ERROR: integer constant -1073741823 does not fit in signed 8 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	321	3499	970	447	2	false	false	false	31	-1073741823	3	39	282	12								BLAST-ERROR: integer constant -1073741823 does not fit in signed 12 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	321	3499	970	447	2	false	false	false	31	-1073741823	3	39	282	16								BLAST-ERROR: integer constant -1073741823 does not fit in signed 16 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	321	3499	970	447	2	false	false	false	31	-1073741823	3	39	282	20								BLAST-ERROR: integer constant -1073741823 does not fit in signed 20 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	321	3499	970	447	2	false	false	false	31	-1073741823	3	39	282	24								BLAST-ERROR: integer constant -1073741823 does not fit in signed 24 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	321	3499	970	447	2	false	false	false	31	-1073741823	3	39	282	28								BLAST-ERROR: integer constant -1073741823 does not fit in signed 28 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	321	3499	970	447	2	false	false	false	31	-1073741823	3	39	282	32	9991	1940	39731200	0	0	119804718		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	47	384	94	40	2	false	false	false	4	5	2	12	35	4	1082	188	60160	0	0	190779		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	47	384	94	40	2	false	false	false	4	5	2	12	35	8	1082	188	240640	0	0	740691		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	47	384	94	40	2	false	false	false	4	5	2	12	35	12	1082	188	541440	0	0	1651563		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	47	384	94	40	2	false	false	false	4	5	2	12	35	16	1082	188	962560	0	0	2923395		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	47	384	94	40	2	false	false	false	4	5	2	12	35	20	1082	188	1504000	0	0	4556187		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	47	384	94	40	2	false	false	false	4	5	2	12	35	24	1082	188	2165760	0	0	6549939		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	47	384	94	40	2	false	false	false	4	5	2	12	35	28	1082	188	2947840	0	0	8904651		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	47	384	94	40	2	false	false	false	4	5	2	12	35	32	1082	188	3850240	0	0	11620323		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	114	932	238	150	2	false	false	false	17	50001	3	6	108	4								BLAST-ERROR: integer constant 50001 does not fit in signed 4 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	114	932	238	150	2	false	false	false	17	50001	3	6	108	8								BLAST-ERROR: integer constant 50001 does not fit in signed 8 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	114	932	238	150	2	false	false	false	17	50001	3	6	108	12								BLAST-ERROR: integer constant 50001 does not fit in signed 12 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	114	932	238	150	2	false	false	false	17	50001	3	6	108	16								BLAST-ERROR: integer constant 50001 does not fit in signed 16 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	114	932	238	150	2	false	false	false	17	50001	3	6	108	20	2808	476	3808000	0	0	11541333		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	114	932	238	150	2	false	false	false	17	50001	3	6	108	24	2808	476	5483520	0	0	16590405		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	114	932	238	150	2	false	false	false	17	50001	3	6	108	28	2808	476	7463680	0	0	22553397		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	114	932	238	150	2	false	false	false	17	50001	3	6	108	32	2808	476	9748480	0	0	29430309		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	sat	389	3797	1115	376	2	false	false	false	17	50004	2	9	380	4								BLAST-ERROR: integer constant 50001 does not fit in signed 4 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	sat	389	3797	1115	376	2	false	false	false	17	50004	2	9	380	8								BLAST-ERROR: integer constant 50001 does not fit in signed 8 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	sat	389	3797	1115	376	2	false	false	false	17	50004	2	9	380	12								BLAST-ERROR: integer constant 50001 does not fit in signed 12 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	sat	389	3797	1115	376	2	false	false	false	17	50004	2	9	380	16								BLAST-ERROR: integer constant 50001 does not fit in signed 16 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	sat	389	3797	1115	376	2	false	false	false	17	50004	2	9	380	20	12325	2230	17840000	0	0	54033381		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	sat	389	3797	1115	376	2	false	false	false	17	50004	2	9	380	24	12325	2230	25689600	0	0	77680677		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	sat	389	3797	1115	376	2	false	false	false	17	50004	2	9	380	28	12325	2230	34966400	0	0	105609573		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	sat	389	3797	1115	376	2	false	false	false	17	50004	2	9	380	32	12325	2230	45670400	0	0	137820069		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	588	42302	4	2	2	false	false	false	32	-2147483648	32	1	587	4								BLAST-ERROR: integer constant -2147483648 does not fit in signed 4 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	588	42302	4	2	2	false	false	false	32	-2147483648	32	1	587	8								BLAST-ERROR: integer constant -2147483648 does not fit in signed 8 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	588	42302	4	2	2	false	false	false	32	-2147483648	32	1	587	12								BLAST-ERROR: integer constant -2147483648 does not fit in signed 12 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	588	42302	4	2	2	false	false	false	32	-2147483648	32	1	587	16								BLAST-ERROR: integer constant -2147483648 does not fit in signed 16 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	588	42302	4	2	2	false	false	false	32	-2147483648	32	1	587	20								BLAST-ERROR: integer constant -2147483648 does not fit in signed 20 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	588	42302	4	2	2	false	false	false	32	-2147483648	32	1	587	24								BLAST-ERROR: integer constant -2147483648 does not fit in signed 24 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	588	42302	4	2	2	false	false	false	32	-2147483648	32	1	587	28								BLAST-ERROR: integer constant -2147483648 does not fit in signed 28 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	588	42302	4	2	2	false	false	false	32	-2147483648	32	1	587	32	42949	8	163840	0	0	737949		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	200	1902	493	75	2	false	false	false	17	50001	3	3	197	4								BLAST-ERROR: integer constant 50001 does not fit in signed 4 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	200	1902	493	75	2	false	false	false	17	50001	3	3	197	8								BLAST-ERROR: integer constant 50001 does not fit in signed 8 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	200	1902	493	75	2	false	false	false	17	50001	3	3	197	12								BLAST-ERROR: integer constant 50001 does not fit in signed 12 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	200	1902	493	75	2	false	false	false	17	50001	3	3	197	16								BLAST-ERROR: integer constant 50001 does not fit in signed 16 bits
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	200	1902	493	75	2	false	false	false	17	50001	3	3	197	20	5843	986	7888000	0	0	23906106		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	200	1902	493	75	2	false	false	false	17	50001	3	3	197	24	5843	986	11358720	0	0	34364670		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	200	1902	493	75	2	false	false	false	17	50001	3	3	197	28	5843	986	15460480	0	0	46716354		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	200	1902	493	75	2	false	false	false	17	50001	3	3	197	32	5843	986	20193280	0	0	60961158		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	13615	190281	63358	38472	2	false	false	false	4	5	2	78	13537	4	639317	126716	40549120	0	0	127686573		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	13615	190281	63358	38472	2	false	false	false	4	5	2	78	13537	8	639317	126716	162196480	0	0	497583765		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	13615	190281	63358	38472	2	false	false	false	4	5	2	78	13537	12	639317	126716	364942080	0	0	1110775677		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	13615	190281	63358	38472	2	false	false	false	4	5	2	78	13537	16	639317	126716	648785920	0	0	1967262309		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	13615	190281	63358	38472	2	false	false	false	4	5	2	78	13537	20	639317	126716	1013728000	0	0	3067043661		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	13615	190281	63358	38472	2	false	false	false	4	5	2	78	13537	24	639317	126716	1459768320	0	0	4410119733		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	13615	190281	63358	38472	2	false	false	false	4	5	2	78	13537	28	639317	126716	1986906880	0	0	5996490525		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	13615	190281	63358	38472	2	false	false	false	4	5	2	78	13537	32	639317	126716	2595143680	0	0	7826156037		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	sat	892	9682	2929	1797	2	false	false	false	3	2	2	42	850	4	29071	5858	1874560	0	0	5891157		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	sat	892	9682	2929	1797	2	false	false	false	3	2	2	42	850	8	29071	5858	7498240	0	0	22981197		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	sat	892	9682	2929	1797	2	false	false	false	3	2	2	42	850	12	29071	5858	16871040	0	0	51318597		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	sat	892	9682	2929	1797	2	false	false	false	3	2	2	42	850	16	29071	5858	29992960	0	0	90903357		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	sat	892	9682	2929	1797	2	false	false	false	3	2	2	42	850	20	29071	5858	46864000	0	0	141735477		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	sat	892	9682	2929	1797	2	false	false	false	3	2	2	42	850	24	29071	5858	67484160	0	0	203814957		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	sat	892	9682	2929	1797	2	false	false	false	3	2	2	42	850	28	29071	5858	91853440	0	0	277141797		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	sat	892	9682	2929	1797	2	false	false	false	3	2	2	42	850	32	29071	5858	119971840	0	0	361715997		
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	sat	459	4848	1389	502	2	false	false	false	31	-1073741823	2	26	433	4								BLAST-ERROR: integer constant -1073741823 does not fit in signed 4 bits
