file	status	n_vars	max_degree	n_assert	has_div	has_div_const	max_abs_int_log2	has_to_int	has_ite	has_top_or
QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Benghazi_nondet_true-termination.c__p26690_terminationG_0.smt2	sat	83	2	7	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Hanoi_3vars_false-termination.c__terminationQ_13_0.smt2	unsat	76	2	5	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Singapore_true-termination.c__p27347_terminationG_0.smt2	sat	42	2	5	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__ConvertRec.jar-obl-9__p28030_safety_0.smt2	unknown	598	2	3	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	unknown	152	2	4	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__DivMinus.jar-obl-11__p28570_edge_closing_0.smt2	sat	1539	2	34	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Et3.jar-obl-9__p28829_terminationG_0.smt2	sat	104	2	12	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__FlattenTreeListRec.jar-obl-10__p29567_safety_0.smt2	sat	207	2	9	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown	321	2	9	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30175_safety_0.smt2	unknown	328	2	9	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30440_safety_0.smt2	unknown	305	2	9	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30726_safety_0.smt2	sat	293	2	9	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	sat	459	2	13	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31253_safety_0.smt2	sat	323	2	8	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31541_safety_0.smt2	sat	248	2	7	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31818_safety_0.smt2	sat	241	2	7	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32069_safety_0.smt2	sat	658	2	18	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32332_safety_0.smt2	sat	332	2	9	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32598_safety_0.smt2	sat	708	2	18	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	sat	342	2	9	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	sat	215	2	7	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2235_terminationG_0.smt2	sat	761	2	7	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2	sat	346	2	9	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	13730	2	31	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	sat	219	2	7	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4414_safety_0.smt2	unknown	315	2	7	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4676_safety_0.smt2	sat	429	2	9	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4943_safety_0.smt2	sat	351	2	9	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5184_terminationG_0.smt2	sat	1235	2	15	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5428_safety_0.smt2	sat	356	2	9	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5722_safety_0.smt2	sat	363	2	8	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	unsat	189	2	5	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6315_safety_0.smt2	unknown	373	2	9	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6637_safety_0.smt2	sat	294	2	8	0	0	30	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6984_safety_0.smt2	sat	248	2	7	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	sat	419	2	9	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	sat	323	2	7	0	0	31	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7725_safety_0.smt2	sat	1394	2	13	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7871_safety_0.smt2	sat	1352	2	13	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	sat	1872	2	18	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8261_safety_0.smt2	sat	654	2	6	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8434_safety_0.smt2	sat	760	2	8	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8651_safety_0.smt2	sat	235	2	4	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8809_safety_0.smt2	sat	984	2	8	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8992_safety_0.smt2	sat	937	2	8	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9188_safety_0.smt2	sat	481	2	5	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9492_safety_0.smt2	sat	1041	2	18	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateContainsAll.jar-obl-11__terminationS_0_0.smt2	unsat	4266	2	35	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__LessLeaves.jar-obl-10__p10018_edge_closing_0.smt2	sat	629	2	24	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2	unknown	131	2	3	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Matrix.jar-obl-16__p10854_edge_closing_0.smt2	sat	680	2	25	0	0	7	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10955_edge_closing_0.smt2	sat	121	2	12	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__NO_12.jar-obl-8__p11373_terminationG_0.smt2	unknown	120	2	9	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__RandomHard.jar-obl-10__p11834_safety_0.smt2	sat	182	2	7	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2	unsat	620	2	8	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test13Loops.jar-obl-10__p12737_edge_closing_0.smt2	sat	222	2	11	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2	unsat	3009	2	50	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2	unknown	38	2	5	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2	unknown	211	2	5	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-middle.jar-obl-8__p14206_terminationG_0.smt2	sat	111	2	9	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-upAndDownIneq.jar-obl-8__terminationS_1_0.smt2	unsat	48	2	7	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__whileNested_rec.jar-obl-9__p14976_terminationG_0.smt2	unsat	47	2	6	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__afagp-fail.t2__p15482_terminationG_0.smt2	unknown	419	2	21	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__agafp.t2_fixed__terminationS_0_0.smt2	unsat	166	2	4	0	0	18	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-accepted.t2__p16321_terminationG_0.smt2	sat	3560	2	93	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__apchildlive-succeed.t2_fixed__p16399_edge_closing_0.smt2	unknown	8360	2	334	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-live.t2_fixed__p16479_terminationG_0.smt2	sat	2895	2	47	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_3_0.smt2	sat	372	2	44	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__byron-4.t2__p17594_terminationG_0.smt2	unknown	120	2	5	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__consts1nt.t2__p17935_terminationG_0.smt2	unsat	26	2	4	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__consts5nt.t2__p18457_edge_closing_0.smt2	sat	122	2	9	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__db2.t2_fixed__terminationS_29_0.smt2	unsat	919	2	36	0	0	4	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__disj_nightmare.t2__p18944_edge_closing_0.smt2	sat	530	2	8	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20109_safety_0.smt2	sat	85	2	7	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20676_safety_0.smt2	sat	99	2	7	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__efegp.t2__p21963_edge_closing_0.smt2	sat	235	2	28	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__ex19.t2__p22319_terminationG_0.smt2	unknown	40	2	5	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2_fixed__p23563_safety_0.smt2	sat	39	2	4	0	0	11	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p26914_safety_0.smt2	sat	75	2	5	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p28763_safety_0.smt2	sat	68	2	5	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p29986_safety_0.smt2	unsat	55	2	4	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31135_safety_0.smt2	sat	65	2	5	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p31933_safety_0.smt2	unknown	97	2	5	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__firewire.t2__terminationS_13_0.smt2	unsat	1014	2	33	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__foo.t2__terminationS_32_0.smt2	unsat	11084	2	45	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__fun1b.t2__terminationS_11_0.smt2	unsat	3073	2	19	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__fun1.t2_fixed__p697_terminationG_0.smt2	sat	4316	2	66	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	sat	901	2	33	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__fun9.t2__p1346_edge_closing_0.smt2	sat	292	2	18	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__fun9.t2__p1480_edge_closing_0.smt2	sat	217	2	14	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.fixed.t2_fixed__terminationS_36_0.smt2	unsat	1003	2	70	0	0	5	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_45_0.smt2	unsat	970	2	70	0	0	5	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.t2_fixed__terminationS_36_0.smt2	unsat	967	2	70	0	0	5	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__janne_complex.t2__p2263_terminationG_0.smt2	sat	559	2	11	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__mc91.t2__p2846_terminationG_0.smt2	unknown	261	2	11	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__mc91test.t2__p3142_terminationG_0.smt2	sat	1082	2	43	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__n-10.t2__p3427_edge_closing_0.smt2	sat	184	2	15	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__n-21.t2__p3959_terminationG_0.smt2	unsat	97	2	4	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__n-40.t2__p4304_terminationG_0.smt2	unknown	262	2	21	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__n-5.t2__p4694_edge_closing_0.smt2	sat	610	2	15	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2_fixed__p4922_terminationG_0.smt2	unsat	65	2	4	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2__p5005_terminationG_0.smt2	unknown	105	2	6	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__nakata.t2__p5351_edge_closing_0.smt2	sat	5274	2	74	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__p-43-terminate.t2__term_unfeasibility_1_0.smt2	unsat	199	2	11	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7110_edge_closing_0.smt2	unknown	140	2	15	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__polling.t2_fixed__p7335_terminationG_0.smt2	sat	1426	2	44	0	0	5	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	sat	400	2	12	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__queens.t2__term_unfeasibility_1_0.smt2	sat	215	2	35	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.c.i.rlft3.pl.t2.fixed.t2__p8813_terminationG_0.smt2	unknown	261	2	20	0	0	18	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__rlft3.t2__p9106_terminationG_0.smt2	unknown	360	2	31	0	0	17	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p10157_safety_0.smt2	sat	433	2	7	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p10785_safety_0.smt2	sat	744	2	11	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p11698_safety_0.smt2	unsat	46	2	3	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p12578_safety_0.smt2	unknown	77	2	3	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p13494_safety_0.smt2	sat	750	2	11	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p14253_safety_0.smt2	sat	750	2	11	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p15159_terminationG_0.smt2	sat	2005	2	67	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	unknown	75	2	3	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p18409_safety_0.smt2	unsat	55	2	3	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19291_safety_0.smt2	sat	726	2	11	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p20015_safety_0.smt2	sat	776	2	11	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__sas2.t2__terminationQ_2_0.smt2	sat	434	2	19	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-filtered.t2__p21659_terminationG_0.smt2	unknown	2076	2	15	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-new.t2__p21995_terminationG_0.smt2	unknown	2807	2	15	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2_fixed__terminationS_31_0.smt2	unsat	1701	2	47	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2__p22227_terminationG_0.smt2	unknown	2165	2	11	0	0	16	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-4-filtered.t2__p22683_terminationG_0.smt2	sat	3466	2	39	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-n1.t2_fixed__p22997_safety_0.smt2	unsat	254	2	5	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__small01.t2__p23469_terminationG_0.smt2	unknown	49	2	6	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__small17.t2__p23845_edge_closing_0.smt2	unknown	34	2	10	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	unsat	439	2	24	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver-succeed.t2__p24602_terminationG_0.smt2	sat	2153	2	99	0	0	3	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__svdcmp.c.i.svdcmp.pl.t2.nor.t2.rlgfixed.t2__p24935_safety_0.smt2	sat	1278	2	69	0	0	1	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__tqli.c.i.tqli.pl.t2.nor.t2.rlgfixed.t2__p25069_terminationG_0.smt2	sat	2365	2	144	0	0	5	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__ud.t2__term_unfeasibility_1_0.smt2	sat	68	2	12	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__zlib-adler32.c.t2_fixed__p25888_safety_0.smt2	unknown	64	2	3	0	0	8	0	0	1
QF_NIA/20170427-VeryMax/ITS/From_T2__zlib-adler32.c.t2__p25902_terminationG_0.smt2	sat	389	2	9	0	0	2	0	0	1
QF_NIA/20170427-VeryMax/SAT14/1051.smt2	sat	762	2	1	0	0	18	0	0	0
QF_NIA/20170427-VeryMax/SAT14/106.smt2	sat	488	2	1	0	0	16	0	0	0
QF_NIA/20170427-VeryMax/SAT14/1166.smt2	sat	814	2	1	0	0	17	0	0	0
QF_NIA/20170427-VeryMax/SAT14/1280.smt2	sat	298	2	1	0	0	17	0	0	0
QF_NIA/20170427-VeryMax/SAT14/1395.smt2	sat	267	2	1	0	0	16	0	0	0
QF_NIA/20170427-VeryMax/SAT14/1509.smt2	sat	669	2	1	0	0	18	0	0	0
QF_NIA/20170427-VeryMax/SAT14/1623.smt2	sat	405	2	1	0	0	17	0	0	0
QF_NIA/20170427-VeryMax/SAT14/1738.smt2	sat	226	2	1	0	0	16	0	0	0
QF_NIA/20170427-VeryMax/SAT14/1854.smt2	sat	473	2	1	0	0	18	0	0	0
QF_NIA/20170427-VeryMax/SAT14/227.smt2	sat	168	2	1	0	0	16	0	0	0
QF_NIA/20170427-VeryMax/SAT14/341.smt2	sat	264	2	1	0	0	16	0	0	0
QF_NIA/20170427-VeryMax/SAT14/456.smt2	sat	698	2	1	0	0	16	0	0	0
QF_NIA/20170427-VeryMax/SAT14/571.smt2	sat	1761	2	1	0	0	5	0	0	0
QF_NIA/20170427-VeryMax/SAT14/687.smt2	sat	753	2	1	0	0	17	0	0	0
QF_NIA/20170427-VeryMax/SAT14/803.smt2	sat	565	2	1	0	0	16	0	0	0
QF_NIA/20170427-VeryMax/SAT14/919.smt2	sat	301	2	1	0	0	16	0	0	0
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/array_3-1-O0.smt2	unknown	99408	1	5	0	0	32	0	1	0
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/geo1-u_valuebound2-O0.smt2	unknown	1586	2	5	0	0	32	0	1	1
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	1303	2	5	0	0	32	0	1	1
QF_NIA/20220315-MathProblems/MS_06.smt2	sat	37	2	680	0	0	0	0	0	0
QF_NIA/20220315-MathProblems/STC_0078.smt2	sat	3	3	1	0	0	7	0	0	0
QF_NIA/20220315-MathProblems/STC_0205.smt2	sat	3	3	1	0	0	8	0	0	0
QF_NIA/20220315-MathProblems/STC_0332.smt2	sat	3	3	1	0	0	9	0	0	0
QF_NIA/20220315-MathProblems/STC_0459.smt2	sat	3	3	1	0	0	9	0	0	0
QF_NIA/20220315-MathProblems/STC_0586.smt2	sat	3	3	1	0	0	10	0	0	0
QF_NIA/20220315-MathProblems/STC_0713.smt2	sat	3	3	1	0	0	10	0	0	0
QF_NIA/20220315-MathProblems/STC_0840.smt2	sat	3	3	1	0	0	10	0	0	0
QF_NIA/20220315-MathProblems/STC_0967.smt2	unsat	3	3	1	0	0	10	0	0	0
QF_NIA/20230328-sqrtmodinv-hoenicke/sqrtStep6a.smt2	unsat	3	2	5	0	0	100	0	0	1
QF_NIA/AProVE/aproveSMT1294590808882795189.smt2	sat	5	3	1	0	0	1	0	0	0
QF_NIA/AProVE/aproveSMT1669457300444119286.smt2	sat	33	4	1	0	0	1	0	0	0
QF_NIA/AProVE/aproveSMT2045146210738691450.smt2	sat	20	3	1	0	0	1	0	0	0
QF_NIA/AProVE/aproveSMT2449356678853584219.smt2	sat	195	5	1	0	0	1	0	0	0
QF_NIA/AProVE/aproveSMT2912633883485370336.smt2	sat	43	5	1	0	0	1	0	0	0
QF_NIA/AProVE/aproveSMT3326416242224032552.smt2	sat	7	2	1	0	0	1	0	0	0
QF_NIA/AProVE/aproveSMT3734122552322670033.smt2	sat	35	4	1	0	0	1	0	0	0
QF_NIA/AProVE/aproveSMT4225308127115953119.smt2	sat	66	2	1	0	0	1	0	0	0
QF_NIA/AProVE/aproveSMT4687047739446499948.smt2	unsat	29	3	1	0	0	1	0	0	0
QF_NIA/AProVE/aproveSMT5048239408100334127.smt2	unsat	42	4	1	0	0	1	0	0	0
QF_NIA/AProVE/aproveSMT5574282980958522472.smt2	unsat	16	5	1	0	0	1	0	0	0
