id	crate	file	line	test	generator	iterations	box	property	counterexample_class	concrete_instance	reachable	reason	method	notes	disposition
R011	axeyum-ir	crates/axeyum-ir/tests/ir.rs	353	boolean_truth_tables	sweep	2*2 = 4	p,q in [false,true]	and/or/xor/not/implies/iff/eq/distinct evaluate to the truth table	any Boolean pair	p=true q=false	yes	the sweep is the whole domain	read		n/a
R012	axeyum-ir	crates/axeyum-ir/tests/ir.rs	378	exhaustive_bv_binary_ops_small_widths	sweep	sum over w of 4^w for w in [1,2,3,4,8] = 65876 pairs	w in [1,2,3,4,8]; x,y in 0..2^w	bvadd/and/or/xor/ult/eq evaluate to the masked u128 reference	width-128 host overflow: x + y exceeds u128 (the reference `(x + y) & m` itself would overflow there)	w=128 x=u128::MAX y=1	no	widths list stops at 8; at w<=8 x+y < 2^9 never overflows the host u128, so a wrapping_add-vs-add defect at w=128 is unreachable	derived	width_128_wrapping_and_masking (line 456) covers add and not at w=128 as single examples; ult/and/or/xor have no w=128 case	structural-open
R013	axeyum-ir	crates/axeyum-ir/tests/ir.rs	405	exhaustive_bv_not_small_widths	sweep	2+16+256 = 274	w in [1,4,8]; x in 0..2^w	bvnot == !x & mask	width-128 (mask(128) must be u128::MAX, not (1<<128)-1)	w=128 x=0	no	widths list excludes 128	derived	covered by the width_128_wrapping_and_masking example (bv_not of u128::MAX)	structural-open
R014	axeyum-ir	crates/axeyum-ir/tests/ir.rs	419	exhaustive_extract_concat_roundtrip	sweep	64 values x 5 splits = 320	w=6; v in 0..64; split in 1..6	concat(extract(hi), extract(lo)) == v	extract of the full 128-bit width (out = 128, mask(128)) and a concat producing exactly 128 bits	w=128 extract(127,0) and concat(BV64, BV64)	no	w is the single literal 6; no split reaches an output width of 64 or 128	derived	eval's mask() guards width >= 128 by inspection; the class is unexercised by any test in the crate (grep: only extract(63,0) on a 200-bit wide value)	structural-open
R015	axeyum-ir	crates/axeyum-ir/tests/ir.rs	511	exhaustive_arithmetic_ops	sweep	4+16+64+256 = 340 pairs	w in [1,2,3,4]; x,y in 0..2^w	bvsub/mul/udiv/urem/nand/nor/xnor == u128 reference with SMT-LIB totality	width-128 host overflow of bvmul (x*y exceeds u128) and the all-ones udiv-by-zero result at w=128	w=128 x=2^64 y=2^64 (mul); w=128 x=5 y=0 (udiv)	no	widths list stops at 4; x*y < 2^8 never overflows the host; udiv-by-zero IS reached at every listed width (y=0 is in the sweep) but never at w=128 where the reference's `unwrap_or(u128::MAX) & m` differs from `mask(w)` only if mask(128) is wrong	derived	divide-by-zero and x=all-ones ARE reached at w<=4	structural-open
R016	axeyum-ir	crates/axeyum-ir/tests/ir.rs	546	exhaustive_signed_arithmetic	sweep	4+16+64+256+65536 = 65876 pairs	w in [1,2,3,4,8]; x,y in 0..2^w	bvsdiv/srem/smod/slt/sle/sgt/sge == i64 reference with SMT-LIB totality	INT_MIN / -1 at w=128 (i128::MIN / -1 overflows the host i128 unless wrapping_div is used)	w=128 x=2^127 y=2^128-1	no	INT_MIN/-1 IS reached at w=8 (x=128,y=255) and w=1..4, but the host-overflow variant needs w=128 (the eval reference to_signed/from_signed path), which the widths list excludes	derived	the reference uses i64 (to_i) so it cannot express w=128 anyway; divisor zero reached at every listed width	structural-open
R017	axeyum-ir	crates/axeyum-ir/tests/ir.rs	590	exhaustive_unsigned_comparisons	sweep	256	w=4; x,y in 0..16	bvule/ugt/uge == u128 compare	sign-bit-set operands compared unsigned (a signed/unsigned confusion)	x=8 y=7	yes	x,y in 0..16 includes 8..15	read		n/a
R018	axeyum-ir	crates/axeyum-ir/tests/ir.rs	611	exhaustive_shifts_including_overshift	sweep	4+256+65536 = 65796	w in [1,4,8]; x,k in 0..2^w	bvshl/lshr/ashr == reference incl. k >= w	shift amount >= width (overshift to 0 / sign fill)	w=8 x=0x80 k=200	yes	k ranges over 0..2^w which exceeds w at every listed width; ashr with sign set and k >= w is in the sweep	read	no w >= 64 case: a shift-amount-truncated-to-6-bits defect (k=64 at w=64 treated as 0) is unreachable, but eval guards k >= w before shifting	n/a
R019	axeyum-ir	crates/axeyum-ir/tests/ir.rs	647	exhaustive_extensions_and_rotates	sweep	16 x (4 + 10) = 224	w=4; x in 0..16; ext by in 0..=3; rotate by in 0..=9	bvneg/zero_ext/sign_ext/rotate_left/rotate_right == reference (rotate by >= w wraps)	sign_ext to exactly 128 bits or beyond (wide result), where `1u128 << (w+by)` in the reference would overflow	w=4 sign_ext(124, x=0b1000) -> 128 bits	no	by in 0..=3 keeps every result <= 7 bits; rotate by >= w IS reached (by 4..=9)	derived	zero_ext/sign_ext to > 128 bits (WideBv) has no evaluator test in this crate beyond structural ones	structural-open
R020	axeyum-ir	crates/axeyum-ir/tests/ir.rs	709	implies_and_comp	sweep	4	p,q in [false,true]	implies and bvcomp match the truth table	any pair	p=true q=false	yes	whole domain	read		n/a
R021	axeyum-ir	crates/axeyum-ir/tests/ir.rs	782	array_select_over_store_is_read_over_write	sweep	8*8*4 = 256	i,j in 0..8 (BV3 index); e in [0,1,7,15] (BV4)	select(store(a,i,e),j) == ite(i==j, e, default)	read at the SAME index as the write (i == j) and at a different aliasing index	i=j=5; i=5 j=3	yes	i and j range over the full BV3 domain so i==j and i!=j both occur	read	the base array is a constant array; a store chain of two writes to the same index is a separate example test (line 827)	n/a
R022	axeyum-ir	crates/axeyum-ir/tests/ir.rs	995	apply_evaluates_against_a_model_interpretation	sweep	16	x in 0..16 (BV4)	apply(f,x) evaluates to the interpretation's table entry or its default	an argument outside the explicitly defined entries (default branch)	x=15	yes	the sweep covers the whole BV4 domain; entries not defined fall to the default	read		n/a
R023	axeyum-ir	crates/axeyum-ir/tests/ir.rs	1087	apply_is_a_function_equal_arguments_give_equal_results	sweep	8*8 = 64	x,y in 0..8 (BV3); table defined for k in 0..8	x == y implies f(x) == f(y)	equal arguments (x == y)	x=y=3	yes	diagonal of the sweep	read		n/a
R024	axeyum-ir	crates/axeyum-ir/tests/ir.rs	1459	int_div_mod_abs_euclidean_semantics	seed-list	8 (div/mod) + 3 (abs)	cases table incl. divisor 0 and negatives; abs over v in [-5, 0, 7]	int div/mod are SMT-LIB Euclidean incl. b == 0 conventions; abs(v) == v.abs()	abs(i128::MIN) (must decline/promote, not wrap) and div(i128::MIN, -1)	abs(-2^127); div(-2^127, -1)	no	the abs list is [-5,0,7] and the div/mod table's magnitudes are < 10; the i128 extremes are absent	read	wide_int_eval_fuzz.rs reaches neg/abs of i128::MIN (19 and 21 instances) but never div(i128::MIN, -1) (see its row); divisor-zero IS in this table	structural-open
R025	axeyum-ir	crates/axeyum-ir/tests/ir.rs	1519	const_array_evaluates_to_constant_everywhere	seed-list	3	i in [0, 5, 15] (BV4 index)	select(const_array(v), i) == v	the maximal index (all-ones)	i=15	yes	15 is the BV4 all-ones index	read		n/a
R026	axeyum-ir	crates/axeyum-ir/tests/ir.rs	1582	bv_overflow_predicates_match_reference_exhaustively	sweep	4+16+64+256 = 340 pairs + 30 nego	w in 1..=4; x,y in 0..2^w	bvuaddo/saddo/usubo/ssubo/umulo/smulo/nego == i128 reference	widths where the structural encoding leaves u128 (bvsmulo sign-extends to 2w > 128 -> WideBv multiply; bvnego at w > 128 masked-shift bug)	w=128 x=y=2^127 (smulo true via the wide path); w=129 nego(2^128)	no	the sweep stops at w=4 so every intermediate is <= 8 bits; the recorded incident (nego at w=129 collapsing to `x == 1` in release) was exactly a class this sweep could not see and is now pinned by the seed-list test at line 1631	derived	bvsmulo/bvumulo at 65 <= w <= 128 (2w > 128) still have no evaluation test; wide_bv_umulo_uses_word_width_division_encoding is structural only	structural-open
R027	axeyum-ir	crates/axeyum-ir/tests/ir.rs	1631	wide_bv_nego_is_the_wide_signed_minimum_not_a_masked_shift	seed-list	7 widths x 4 values = 28	w in [129,130,191,192,193,256,4096]; value in [2^(w-1), 2^(w-1)-1, 1, 0]	bvnego is true exactly at the signed minimum, and the compared constant IS 2^(w-1) at full width	the signed minimum of a wide width (and the value 1 the masked shift collapsed to)	w=129 x=2^128	yes	the list names the minimum, one below it, 1 and 0 at each width	read		n/a
R028	axeyum-ir	crates/axeyum-ir/tests/ir.rs	1920	bv_repeat_concatenates_copies	sweep	16	v in 0..16 (BV4), repeat count 2 (plus fixed repeat(3, BV2))	repeat(2, y) == concat(y, y) for every y	a repeat whose result width exceeds 128 (wide concat path)	repeat(3, x:BV64) -> 192 bits	no	the sweep's result width is 8 and the fixed example's is 6; no repeat reaches a 128-bit or wide result	derived		structural-open
R029	axeyum-ir	crates/axeyum-ir/tests/sylvester_determinant_diff.rs	73	eval_interp_determinant_matches_leibniz_on_random_matrices	lcg	400 x 4 dims + 120 x 2 dims = 1840 (asserted >= 1800)	xorshift64 seed 0x5eed1234abcdef01; dim in 1..=6; entry length in 0..=max_len with max_len in 1..=3 (degree <= 2); coefficients in -4..=4 over denominators 1,2,3	evaluation-interpolation Sylvester determinant == Leibniz expansion exactly; zero declines	a scalar matrix at an interpolation point x=k with a zero pivot (Bareiss row swap) and a whole-zero row (R identically 0)	diagonal entry with zero constant term evaluated at x=0; a row of empty polynomials	yes	replicating the generator: 1146 of 1840 matrices (dim >= 2) have a zero diagonal entry at x=0 and 445 have an all-zero row; 1587 carry a non-integer coefficient	ran hits=1146/1840 seed=0x5eed1234abcdef01	852 of 1840 matrices are all-constant (max_len 1 in a third of trials, length 0 or 1 entries), so about half the sample exercises no interpolation at all; coefficient magnitude <= 4 means the i128 overflow decline path is asserted never to fire rather than exercised	n/a
R030	axeyum-ir	crates/axeyum-ir/tests/sylvester_determinant_diff_bignum.rs	69	big_eval_interp_determinant_matches_leibniz_on_random_matrices	lcg	300 x 4 + 100 x 2 = 1400 (asserted >= 1400)	xorshift64 seed 0x13579bdf2468ace0; same shape as the i128 test with BigRational entries	bignum evaluation-interpolation determinant == Leibniz	zero pivot at an interpolation point; all-zero row	as above	yes	replication: 877 of 1400 have a zero diagonal at x=0, 317 an all-zero row	ran hits=877/1400 seed=0x13579bdf2468ace0	the bignum route's reason to exist (coefficients past i128) is never generated: magnitudes stay <= 4 with dim <= 6 and degree <= 2, so every determinant fits i128 comfortably	n/a
R031	axeyum-ir	crates/axeyum-ir/tests/wide_int_eval_fuzz.rs	300	integer_evaluation_matches_a_bigint_reference_across_the_i128_boundary	lcg	INSTANCES=400 x depth 1..=3 = 1200	seed in 0..400; depth in 1..=3; literal pool of 15 values straddling i128 (0,1,-1,2,-7,i128::MAX,i128::MIN,+-2^127,+-2^128,+-2^256,2^256-1,2^512); ops neg/abs/add/sub/mul/div/mod; every third divisor a constant 0	eval == BigInt reference incl. WHICH inputs decline (per-node promotion rule); results inside i128 come back narrow; constant-zero divisors generated	i128::MIN div -1 with both operands narrow (the one narrow division that can overflow; named in the reference's own comment)	div(i128::MIN, -1)	no	at depth 1 the pair needs a Div node (2/8 * 1/2), a non-zero right (2/3) and both leaves picked from a 15-element pool (1/15 each): probability 3.7e-4 per instance; replicating the LCG and generator for the configured 400 seeds x 3 depths gives 0 instances whose reference evaluates div(i128::MIN, -1) (mod(i128::MIN, -1) also 0)	ran hits=0/1200 seed=seed*0x9e3779b97f4a7c15^depth	reached classes over the same run: constant-zero divisors 296 (150 with a wide dividend), neg(i128::MIN) 19, abs(i128::MIN) 21, narrow add/mul overflow 7/19, wide/wide div 64, division by a negative divisor 93	structural-open
R032	axeyum-ir	crates/axeyum-ir/tests/wide_int_eval_fuzz.rs	408	the_four_named_boundary_magnitudes_follow_the_per_node_rule	seed-list	4	value in [i128::MAX, 2^127, 2^128, 2^256]	x + 1 - 1 round-trips exactly for wide x and declines for narrow i128::MAX	the narrow/wide boundary (i128::MAX vs i128::MAX + 1)	i128::MAX	yes	both sides of the boundary are in the list	read	the negative boundary (i128::MIN - 1 vs i128::MIN) is not in this list; the fuzz pool has both	n/a
R033	axeyum-arith	crates/axeyum-arith/src/hensel.rs	364	the_lift_agrees_with_brute_force_over_a_deterministic_corpus	sweep	5 polys x 4 primes x seeds 0..p = 130 triples (asserted >= 20 lift)	polys [x^2-2, x^3-1, x^2-5x+3, (x-1)(x-2)(x-3), x+7]; prime in [3,5,7,11]; seed in 0..prime; lift to p^3	a lifted root verifies, is a root mod p^3 by brute force, and stays in its residue class	a simple root whose first Newton correction is zero (f(seed) already 0 mod p^2) and one where it is nonzero at every step	x+7 at p=7 seed 0 (f(0)=7, correction lands at 336 mod 343)	yes	x+7 with p=7 seed=0 is in the corpus; p=2 (where f' can vanish identically) is deliberately outside the prime list and covered by the multiple-root decline test	read	seeds are always reduced (0..p); an unreduced or negative seed is not in the box	n/a
R034	axeyum-arith	crates/axeyum-arith/src/lib.rs	1767	round_at_exponent_agrees_with_from_rational_at_exponent	seed-list	5 exponents x 5 modes = 25	one fixed POSITIVE dyadic 1234567 * 2^-20; exponent in [-19,-12,-5,0,3]; all five Round modes	the dyadic-input rounding route == the rational-input route	a NEGATIVE value (the only inputs where Down != TowardZero and Up != AwayFromZero)	-1234567 * 2^-20 at exponent -12 under Down (Down gives -4823 * 2^-12, TowardZero gives -4822 * 2^-12)	no	the single fixture is positive, so a route that swapped Down/TowardZero (or Up/AwayFromZero) for negatives passes all 25 cells; the tie case IS reached (exponent -19 halves an odd mantissa)	derived	the_five_modes_are_pairwise_distinguished_at_one_argument (line ~1745) checks negatives on the RATIONAL route only; Dyadic::round_at_exponent on a negative dyadic is compared against nothing	structural-open
R035	axeyum-arith	crates/axeyum-arith/src/lib.rs	1792	outward_grid_rounding_contains_its_input_over_a_deterministic_sweep	sweep	75 x 6 x 4 = 1800	numerator in -37..=37; denominator in [1,3,7,11,64,1000]; high = low + 1/5; exponent in [-9,-3,0,2]	outward rounding contains [low, high] and lo <= hi	an interval straddling zero, and an endpoint already on the grid	low = -1/7, high = -1/7 + 1/5 > 0; low = 3/64 at exponent -9	yes	numerators in -37..=37 with a 1/5 offset produce straddling intervals (e.g. -1/7) and 64 in the denominator list lands endpoints on the 2^-9 grid	read		n/a
R036	axeyum-arith	crates/axeyum-arith/src/lib.rs	1841	grid_rounding_of_zero_is_zero	seed-list	3	exponent in [-64, 0, 64]	rounding zero at any grid is zero	zero at an extreme exponent	exponent 64	yes	the list spans both signs	read		n/a
R037	axeyum-arith	crates/axeyum-arith/src/upoly.rs	1651	integer_bezout_round_trips	seed-list	6	(a,b) in [(6,4),(-6,4),(0,5),(5,0),(0,0),(17,13)]	extended_gcd certificate verifies; gcd pinned non-negative	a negative operand and a zero operand (incl. (0,0))	(-6,4); (0,0)	yes	both are in the list	read		n/a
R038	axeyum-arith	crates/axeyum-arith/src/upoly.rs	1880	a_positive_rescale_of_the_input_changes_no_count	seed-list	4 (+1 negative)	factor in [1, 7, 1/12, 100000/3] on (x-1)(x-2)(x-3); plus factor -5	count_real_roots is scale-invariant	a negative scale (sign of every Sturm chain element flips)	factor -5	yes	the negative case is asserted after the loop	read		n/a
R039	axeyum-bv	crates/axeyum-bv/src/lib.rs	4210	boolean_connectives_match_ground_evaluator	sweep	4	p,q in [false,true]	lowered AIG of not/and/implies/xor == ground evaluator	any pair	p=true q=false	yes	whole domain	read		n/a
R040	axeyum-bv	crates/axeyum-bv/src/lib.rs	4236	bv_bitwise_ops_match_ground_evaluator	sweep	64	x,y in 0..8 (BV3)	lowered not/and/or/xnor/nand/xor == evaluator	all-ones and zero operands	x=7 y=0	yes	whole BV3 domain	read	bit-parallel ops are width-generic	n/a
R041	axeyum-bv	crates/axeyum-bv/src/lib.rs	4265	structural_ops_match_ground_evaluator	sweep	8*8*4*2 = 512	x,y in 0..8 (BV3); z in 0..4 (BV2); p in [false,true]	lowered extract/concat/zero_ext/sign_ext/eq/bvcomp/ite == evaluator	sign_ext of a value with the sign bit set, and concat where the high half is a slice	x=0b11 (x_low sign set)	yes	x_low = extract(1,0,x) has its sign bit set for x in {2,3,6,7}	read		n/a
R042	axeyum-bv	crates/axeyum-bv/src/lib.rs	4320	arithmetic_ops_match_ground_evaluator	sweep	256	x,y in 0..16 (BV4)	lowered neg/add/sub == evaluator	carry-out wrap (all-ones + 1) and neg of the signed minimum	x=15 y=1; x=8	yes	whole BV4 domain	read	width 1 (degenerate ripple carry) is not in this test; signed_division covers width 1 for its own ops only	n/a
R043	axeyum-bv	crates/axeyum-bv/src/lib.rs	4356	comparison_ops_match_ground_evaluator	sweep	64	x,y in 0..8 (BV3)	lowered ult/ule/ugt/uge/slt/sle/sgt/sge == evaluator	sign bit set on one side (signed vs unsigned order differ)	x=4 y=3	yes	whole BV3 domain	read		n/a
R044	axeyum-bv	crates/axeyum-bv/src/lib.rs	4395	shift_ops_match_ground_evaluator	sweep	4 + 256 + 1024 = 1284	width in [1,4,5]; x,k in 0..2^width	lowered shl/lshr/ashr == evaluator	shift amount >= width (the barrel shifter's in-range mux must select the overflow result), incl. amounts with bits above the stage count	width=5 x=0b10000 k=31	yes	k ranges over 0..2^w >= w at every width; width 5 (not a power of two) has amounts 8..31 whose high bits exceed the 3 barrel stages	read	no width >= 64; the lowering is bit-generic (stages while stage_shift < len)	n/a
R045	axeyum-bv	crates/axeyum-bv/src/lib.rs	4436	rotate_ops_match_ground_evaluator	sweep	32 x 20 roots	BV5; by in 0..10; x in 0..32	lowered rotate_left/right == evaluator	rotate by >= width and by == width (identity)	by=5; by=9	yes	by in 0..10 covers 5..9	read	by = 2*width (10) is excluded (0..10 is 0..=9); lowering reduces by % width so 10 behaves as 0, already covered by by=0	n/a
R046	axeyum-bv	crates/axeyum-bv/src/lib.rs	4521	demanded_lowering_materializes_only_narrow_extract_cone	seed-list	4	x:BV64 in [0, 0x5a, 0x15a, u64::MAX]; root = extract(7,0,x) == 0x5a	demanded lowering evaluates like the full evaluator and lowers only 8 symbol bits	a value whose bits OUTSIDE the demanded slice are set (must not influence the root)	0x15a (bit 8 set); u64::MAX	yes	both are in the list	read		n/a
R047	axeyum-bv	crates/axeyum-bv/src/lib.rs	4557	demanded_structural_ops_match_evaluator_exhaustively	sweep	16*16*2 = 512	x,y in 0..16 (BV4); p in [false,true]; root = eq(ite(p, rotl(1, extract(5,2, concat(x,y))), not ...), 0b1010)	demanded lowering == evaluator	a demanded slice straddling the concat boundary and a rotate moving a bit across the slice edge	any x,y (structural) e.g. x=1 y=8	yes	the fixed term shape straddles bit 4 (concat boundary) and the sweep covers the whole input domain	read		n/a
R048	axeyum-bv	crates/axeyum-bv/src/lib.rs	4626	demanded_lowering_uses_conservative_full_arithmetic_barrier	sweep	256	x,y in 0..16 (BV4); root = extract(0,0, x+y) == 1	demanding one bit of an add lowers the full adder and evaluates like the evaluator	the carry chain (bit 0 of a sum depends only on bit 0, but the barrier must lower all 4 bits)	x=15 y=1	yes	whole domain	read		n/a
