fact_id	route	curation	language	subject	n_evidence	n_checkers	checker_fanout_min	checker_fanout_max	kernel_theorem	per_theorem_footprint	env_footprint	circularity	semantic_falsification	mutation_control	independent_replay	coverage_bearing_checker	protection_count	exact_statement	subject_guessed	coverage_by_guess_only	checkers_multi	checkers_name_producer
F:complex-abs-nonneg	kernel-lean	generated-unreviewed	lean4	Complex.abs_nonneg	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-abs-one	kernel-lean	generated-unreviewed	lean4	Complex.abs_one	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-add-assoc	kernel-lean	generated-unreviewed	lean4	Complex.add_assoc	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-add-comm	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.add_comm	yes	yes	yes
F:complex-add-congr	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.add_congr	yes	yes	yes
F:complex-add-div	kernel-lean	generated-unreviewed	lean4	Complex.add_div	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-add-neg	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.add_neg	yes	yes	yes
F:complex-add-pow	kernel-lean	generated-unreviewed	lean4	Complex.add_pow	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-add-zero	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.add_zero	yes	yes	yes
F:complex-admits-no-compatible-order	kernel-lean	-	lean4	Complex.no_compatible_order	3	3	1	1	yes	no	no	no	no	no	no	no	1	yes	-	no	no	no
F:complex-apart-irrefl	kernel-lean	generated-unreviewed	lean4	Complex.apart_irrefl	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-apart-of-normsq-pos	kernel-lean	generated-unreviewed	lean4	Complex.apart_of_normSq_pos	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-apart-symm	kernel-lean	generated-unreviewed	lean4	Complex.apart_symm	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-conj-add	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.conj_add	yes	yes	yes
F:complex-conj-congr	kernel-lean	generated-unreviewed	lean4	Complex.conj_congr	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-conj-conj	kernel-lean	generated-unreviewed	lean4	Complex.conj_conj	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-conj-div	kernel-lean	generated-unreviewed	lean4	Complex.conj_div	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-conj-i	kernel-lean	generated-unreviewed	lean4	Complex.conj_I	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-conj-inv	kernel-lean	generated-unreviewed	lean4	Complex.conj_inv	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-conj-mul	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.conj_mul	yes	yes	yes
F:complex-conj-ofreal	kernel-lean	generated-unreviewed	lean4	Complex.conj_ofReal	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-conj-one	kernel-lean	generated-unreviewed	lean4	Complex.conj_one	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-conj-pow	kernel-lean	generated-unreviewed	lean4	Complex.conj_pow	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-conj-sub	kernel-lean	generated-unreviewed	lean4	Complex.conj_sub	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-conj-zero	kernel-lean	generated-unreviewed	lean4	Complex.conj_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-div-congr	kernel-lean	generated-unreviewed	lean4	Complex.div_congr	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-div-mul-cancel	kernel-lean	generated-unreviewed	lean4	Complex.div_mul_cancel	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-div-self	kernel-lean	generated-unreviewed	lean4	Complex.div_self	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-eq-conj-iff-real	kernel-lean	generated-unreviewed	lean4	Complex.eq_conj_iff_real	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-eq-zero-of-normsq-eq-zero	kernel-lean	generated-unreviewed	lean4	Complex.eq_zero_of_normSq_eq_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-equiv-not-zero-i	kernel-lean	generated-unreviewed	lean4	Complex.Equiv.not_zero_I	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-equiv-not-zero-one	kernel-lean	generated-unreviewed	lean4	Complex.Equiv.not_zero_one	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-equiv-refl	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.Equiv.refl	yes	yes	yes
F:complex-equiv-symm	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.Equiv.symm	yes	yes	yes
F:complex-equiv-trans	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.Equiv.trans	yes	yes	yes
F:complex-factorquotient-degreelt	kernel-lean	-	lean4	Complex.factorQuotient_degreeLt	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-factorquotient-succ-eq	kernel-lean	-	lean4	Complex.factorQuotient_succ_eq	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-factorquotient	kernel-lean	-	lean4	Complex.factorQuotient	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-geom-series-div	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.geom_series_div	yes	yes	yes
F:complex-geom-sum-eq-zero-of-root-of-unity	kernel-lean	generated-unreviewed	lean4	Complex.geom_sum_eq_zero_of_root_of_unity	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-hornerfromtop-diag-eq-polyeval	kernel-lean	-	lean4	Complex.hornerFromTop_diag_eq_polyEval	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-hornerfromtop-succsucc	kernel-lean	-	lean4	Complex.hornerFromTop_succ_succ	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-hornerfromtop-succzero	kernel-lean	-	lean4	Complex.hornerFromTop_succ_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-hornerfromtop-zero	kernel-lean	-	lean4	Complex.hornerFromTop_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-hornerfromtop	kernel-lean	-	lean4	Complex.hornerFromTop	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-i-is-fourth-root	kernel-lean	generated-unreviewed	lean4	Complex.I_is_fourth_root	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-i-sq	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.I_sq	yes	yes	yes
F:complex-im-congr	kernel-lean	generated-unreviewed	lean4	Complex.im_congr	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-inv-congr	kernel-lean	generated-unreviewed	lean4	Complex.inv_congr	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-inv-mul-cancel	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.inv_mul_cancel	yes	yes	yes
F:complex-inv-mul	kernel-lean	generated-unreviewed	lean4	Complex.inv_mul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-left-distrib	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.left_distrib	yes	yes	yes
F:complex-mul-apart-zero	kernel-lean	generated-unreviewed	lean4	Complex.mul_apart_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-mul-assoc	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.mul_assoc	yes	yes	yes
F:complex-mul-comm	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.mul_comm	yes	yes	yes
F:complex-mul-congr	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.mul_congr	yes	yes	yes
F:complex-mul-conj	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.mul_conj	yes	yes	yes
F:complex-mul-div-assoc	kernel-lean	generated-unreviewed	lean4	Complex.mul_div_assoc	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-mul-eq-zero-not-both-apart-zero	kernel-lean	generated-unreviewed	lean4	Complex.mul_eq_zero_not_both_apart_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-mul-inv-cancel	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.mul_inv_cancel	yes	yes	yes
F:complex-mul-one	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.mul_one	yes	yes	yes
F:complex-mul-sub-one-geom	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.mul_sub_one_geom	yes	yes	yes
F:complex-mul-sumrange	kernel-lean	generated-unreviewed	lean4	Complex.mul_sumRange	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-mul-zero	kernel-lean	-	lean4	-	2	2	1	125	no	no	yes	no	no	no	no	no	1	yes	Complex.mul_zero	yes	yes	yes
F:complex-neg-congr	kernel-lean	generated-unreviewed	lean4	Complex.neg_congr	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-neg-div	kernel-lean	generated-unreviewed	lean4	Complex.neg_div	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-normsq-add-le	kernel-lean	generated-unreviewed	lean4	Complex.normSq_add_le	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-normsq-add	kernel-lean	generated-unreviewed	lean4	Complex.normSq_add	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-normsq-congr	kernel-lean	generated-unreviewed	lean4	Complex.normSq_congr	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-normsq-conj	kernel-lean	generated-unreviewed	lean4	Complex.normSq_conj	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-normsq-eq-zero-iff	kernel-lean	generated-unreviewed	lean4	Complex.normSq_eq_zero_iff	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-normsq-eq-zero-of-eq-zero	kernel-lean	generated-unreviewed	lean4	Complex.normSq_eq_zero_of_eq_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-normsq-mul	kernel-lean	generated-unreviewed	lean4	Complex.normSq_mul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-normsq-nonneg	kernel-lean	generated-unreviewed	lean4	Complex.normSq_nonneg	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-normsq-pow	kernel-lean	generated-unreviewed	lean4	Complex.normSq_pow	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-ofnat-add	kernel-lean	generated-unreviewed	lean4	Complex.ofNat_add	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-ofnat-eq-cast	kernel-lean	generated-unreviewed	lean4	Complex.ofNat_eq_cast	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-ofnat-mul	kernel-lean	generated-unreviewed	lean4	Complex.ofNat_mul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-ofnat-succ	kernel-lean	generated-unreviewed	lean4	Complex.ofNat_succ	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-ofnat-zero	kernel-lean	generated-unreviewed	lean4	Complex.ofNat_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-ofreal-add	kernel-lean	generated-unreviewed	lean4	Complex.ofReal_add	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-ofreal-mul	kernel-lean	generated-unreviewed	lean4	Complex.ofReal_mul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-one-is-root-of-unity	kernel-lean	generated-unreviewed	lean4	Complex.one_is_root_of_unity	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polyadd	kernel-lean	-	lean4	Complex.polyAdd	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polydegreelt-polyadd	kernel-lean	-	lean4	Complex.polyDegreeLt_polyAdd	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polydegreelt-polymul	kernel-lean	-	lean4	Complex.polyDegreeLt_polyMul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polydegreelt-polyscale	kernel-lean	-	lean4	Complex.polyDegreeLt_polyScale	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polydegreelt	kernel-lean	-	lean4	Complex.polyDegreeLt	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polyeval-polyadd	kernel-lean	-	lean4	Complex.polyEval_polyAdd	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polyeval-polymul	kernel-lean	-	lean4	Complex.polyEval_polyMul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polyeval-polyscale	kernel-lean	-	lean4	Complex.polyEval_polyScale	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polyeval-succ	kernel-lean	-	lean4	Complex.polyEval_succ	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polyeval-zero	kernel-lean	-	lean4	Complex.polyEval_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polyeval	kernel-lean	-	lean4	Complex.polyEval	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polymul	kernel-lean	-	lean4	Complex.polyMul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-polyscale	kernel-lean	-	lean4	Complex.polyScale	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-pos-bound-conj	kernel-lean	generated-unreviewed	lean4	Complex.pos_bound_conj	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-pow-add	kernel-lean	generated-unreviewed	lean4	Complex.pow_add	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-pow-mul	kernel-lean	generated-unreviewed	lean4	Complex.pow_mul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-pow-succ	kernel-lean	generated-unreviewed	lean4	Complex.pow_succ	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-pow-zero	kernel-lean	generated-unreviewed	lean4	Complex.pow_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-ptolemy-identity	kernel-lean	generated-unreviewed	lean4	Complex.ptolemy_identity	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-ptolemy-inequality-sq	kernel-lean	generated-unreviewed	lean4	Complex.ptolemy_inequality_sq	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-re-add-im	kernel-lean	generated-unreviewed	lean4	Complex.re_add_im	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-re-congr	kernel-lean	generated-unreviewed	lean4	Complex.re_congr	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-ring-constructed-axiom-free	kernel-lean	-	lean4	-	4	4	1	1	no	no	no	no	no	no	no	no	0	yes	-	no	no	no
F:complex-root-of-unity-mul	kernel-lean	generated-unreviewed	lean4	Complex.root_of_unity_mul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-root-of-unity-pow	kernel-lean	generated-unreviewed	lean4	Complex.root_of_unity_pow	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sub-div	kernel-lean	generated-unreviewed	lean4	Complex.sub_div	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-add	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_add	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-congr-lt	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_congr_lt	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-congr	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_congr	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-diagonal	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_diagonal	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-mul-double	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_mul_double	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-mul-eq-diag-add-corner	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_mul_eq_diag_add_corner	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-mul	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_mul	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-rect-eq-diag-add-corner	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_rect_eq_diag_add_corner	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-shiftfront	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_shiftFront	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-split	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_split	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-succ	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_succ	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-swap	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_swap	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:complex-sumrange-zero	kernel-lean	generated-unreviewed	lean4	Complex.sumRange_zero	2	2	1	125	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:congrfun	kernel-lean	generated-unreviewed	lean4	congrFun'	2	2	1	8	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:conjunctive-query-containment-homomorphism-certified	search-certificate	-	smtlib2	-	3	3	1	4	no	no	no	no	yes	yes	no	no	2	yes	-	no	yes	no
F:contraposition	smt-term-level	-	smtlib2	-	1	1	1	1	no	no	no	no	yes	no	no	no	1	yes	-	no	yes	yes
F:covariance-sq-le-variance-mul-over-constructed-rationals	kernel-lean	-	lean4	-	1	1	1	1	no	no	no	no	no	no	no	no	0	yes	-	no	yes	no
F:cpoint-apollonius-from-stewart	kernel-lean	generated-unreviewed	lean4	CPoint.apollonius_from_stewart	2	2	1	76	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:cpoint-apollonius-median	kernel-lean	generated-unreviewed	lean4	CPoint.apollonius_median	2	2	1	76	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:cpoint-area-zero-of-collinear	kernel-lean	generated-unreviewed	lean4	CPoint.area_zero_of_collinear	2	2	1	76	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:cpoint-cauchy-schwarz	kernel-lean	-	lean4	-	2	2	1	1	no	yes	no	yes	no	no	no	no	2	yes	CPoint.cauchy_schwarz	yes	yes	yes
F:cpoint-centroid-distsq	kernel-lean	generated-unreviewed	lean4	CPoint.centroid_distSq	2	2	1	76	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:cpoint-centroid-median	kernel-lean	generated-unreviewed	lean4	CPoint.centroid_median	2	2	1	76	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
F:cpoint-centroid-ratio	kernel-lean	generated-unreviewed	lean4	CPoint.centroid_ratio	2	2	1	76	yes	no	yes	no	no	no	no	yes	3	yes	-	no	yes	yes
