file	parse	n_dt	n_inexact_dt	n_w1_dt	w1	w1_dt	w1_sort	w2	w3	w3_mentions	predicted	n_assert	n_forall	n_exists	max_qdepth	dt_binders	arraydt_binders	r_q_dt_binder	r_q_arraydt_binder	r_selector	r_tester	r_constructor	r_sel_over_dt_array	r_uf_dt_arg	r_uf_dt_result	r_uf_mentions_dt	r_eq_dt	r_ite_dt	a_q_dt_binder	a_q_arraydt_binder	a_selector	a_tester	a_constructor	a_sel_over_dt_array	a_uf_dt_arg	a_uf_dt_result	a_uf_mentions_dt	a_eq_dt	a_ite_dt	unresolved_sorts
AUFDTLIRA_20200306-Kanig_spark2014bench_N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2.core.smt2	OK	17	1	0	0	NONE	NONE	0	0	0	NONE	3	23	7	9	20	0	19	0	0	0	0	0	67	18	0	0	0	20	0	0	0	0	0	60	18	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2.core.smt2	OK	15	1	0	0	NONE	NONE	0	0	0	NONE	1	8	6	7	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__stacks__stacks.ads_84_58_index_check___00.smt2.core.smt2	OK	26	12	0	0	NONE	NONE	1	1	0	W3	4	5	0	2	4	0	1	0	6	0	0	0	11	12	0	0	0	4	0	6	0	0	0	13	16	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2.core.smt2	OK	73	28	0	0	NONE	NONE	1	1	0	W3	1	19	0	7	5	0	5	0	16	0	155	0	38	45	0	3	0	5	0	16	0	125	0	35	42	0	3	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_OA20-032__refinement__patris.adb_121_63_index_check___00.smt2.core.smt2	OK	26	3	0	0	NONE	NONE	1	1	0	W3	2	5	0	3	1	0	0	0	8	0	0	0	1	0	0	0	0	1	0	8	0	0	0	1	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2.core.smt2	OK	22	10	7	1	map__ref	Array/('Int',)/('D', 'us_rep')	1	1	1	W1	1	13	24	6	30	1	21	0	229	0	43	75	0	0	0	36	0	30	1	229	0	43	75	0	0	0	36	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_PA14-032__dic__bounded_strings.adb_8_19_length_check___00.smt2.core.smt2	OK	29	14	0	0	NONE	NONE	1	1	0	W3	1	1	0	1	1	0	0	0	2	0	2	0	0	14	0	0	0	1	0	1	0	2	0	0	3	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_Q519-015__array_cast__cast_array.ads_10_14_postcondition___00.smt2.core.smt2	OK	14	0	0	0	NONE	NONE	0	0	0	NONE	1	3	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_Q529-038__predicate__bounded_stacks.ads_18_20_integer_stacks.ads_4_1_postcondition___00.smt2.core.smt2	OK	31	17	0	0	NONE	NONE	1	1	0	W3	3	4	0	3	4	0	2	0	6	0	7	0	5	7	0	1	0	4	0	6	0	7	0	5	7	0	1	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_Q930-002__itp__bounded_dynamic_arrays.ads_66_13_bounded_dynamic_strings.ads_5_1_postcondition___00.smt2.core.smt2	OK	21	7	0	0	NONE	NONE	1	1	0	W3	2	2	0	1	1	0	0	0	4	0	0	0	5	11	0	0	0	1	0	4	0	0	0	5	11	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_0ad1c3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	OK	24	6	0	0	NONE	NONE	0	0	0	NONE	2	25	3	14	2	0	2	0	0	0	0	0	33	101	0	0	0	2	0	0	0	0	0	25	90	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_17e539_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	OK	24	6	0	0	NONE	NONE	0	0	0	NONE	2	23	14	10	3	0	3	0	0	0	0	0	30	121	0	1	0	3	0	0	0	0	0	28	110	0	1	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_2309ac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	OK	24	5	0	0	NONE	NONE	0	0	0	NONE	1	31	11	6	41	0	41	0	0	0	0	0	135	153	0	0	0	41	0	0	0	0	0	91	129	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_7beb29_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	OK	24	5	0	0	NONE	NONE	0	0	0	NONE	5	17	0	3	13	0	10	0	0	0	0	0	35	46	0	0	0	13	0	0	0	0	0	25	36	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_880db6_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	OK	24	5	0	0	NONE	NONE	0	0	0	NONE	2	34	0	4	27	0	27	0	0	0	0	0	72	99	0	0	0	27	0	0	0	0	0	60	101	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_aa8afb_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	OK	21	4	0	0	NONE	NONE	0	0	0	NONE	3	4	0	2	2	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	5	7	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_b5aa01_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	OK	14	2	0	0	NONE	NONE	0	0	0	NONE	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2.core.smt2	OK	21	4	0	0	NONE	NONE	0	0	0	NONE	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2.core.smt2	OK	14	2	0	0	NONE	NONE	0	0	0	NONE	3	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R728-002__aggregates__pragmarc-b_strings.adb_79_22_range_check___00.smt2.core.smt2	OK	102	86	0	0	NONE	NONE	1	1	0	W3	1	9	0	9	2	0	1	0	7	0	2	0	0	9	0	1	0	2	0	7	0	2	0	0	9	0	1	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_R906-030__recursion__test_rec.adb_45_33_loop_invariant_preserv___00.smt2.core.smt2	OK	19	5	0	0	NONE	NONE	0	0	0	NONE	1	31	5	23	6	0	6	0	0	0	0	0	34	0	0	0	0	6	0	0	0	0	0	28	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_RB05-005__unsound__main.adb_13_74_main.adb_22_4_range_check___00.smt2.core.smt2	OK	16	1	0	0	NONE	NONE	0	0	0	NONE	3	9	3	6	4	0	4	0	0	0	0	0	52	244	0	8	0	4	0	0	0	0	0	8	13	0	8	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__array_applications__why_0df1aa_array_applications-T-defqtvc__00.smt2.core.smt2	OK	12	0	0	0	NONE	NONE	0	0	0	NONE	1	16	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__arrays__arrays.adb_161_16_index_check___00.smt2.core.smt2	OK	15	3	0	0	NONE	NONE	1	1	0	W3	2	7	0	5	2	0	1	0	6	0	1	0	0	0	0	1	0	2	0	6	0	1	0	0	0	0	1	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2.core.smt2	OK	9	0	0	0	NONE	NONE	0	0	0	NONE	3	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_Examples__stacks_1.ads_14_19_postcondition___00.smt2.core.smt2	OK	15	3	0	0	NONE	NONE	1	1	0	W3	3	6	0	3	5	0	3	0	7	0	6	0	8	0	0	0	0	5	0	7	0	6	0	8	0	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_MS__attributes_of_unconstrained_out_parameter_in_precondition__p.ads_10_19_postcondition___00.smt2.core.smt2	OK	13	2	0	0	NONE	NONE	0	0	0	NONE	4	11	0	4	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_RM_MS__other_proof_types_and_functions__stack_functional_spec.ads_58_21_postcondition___00.smt2.core.smt2	OK	16	3	0	0	NONE	NONE	1	1	0	W3	3	19	0	8	16	0	12	0	7	0	3	0	33	15	0	4	0	16	0	7	0	3	0	33	15	0	4	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2.core.smt2	OK	34	16	10	1	map__ref	Array/('Int',)/('D', 'us_rep1')	1	1	1	W1	2	42	0	16	29	0	27	0	185	0	73	20	64	9	0	4	0	29	0	170	0	65	20	58	10	0	4	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_118_8_use_formal_vectors.ads_10_4_predicate_check___00.smt2.core.smt2	OK	34	16	10	1	map__ref	Array/('Int',)/('D', 'us_rep1')	1	1	1	W1	2	40	5	14	32	0	30	0	204	0	75	26	70	8	0	6	0	32	0	189	0	67	26	64	9	0	6	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_146_8_use_formal_vectors.ads_10_4_null_pointer_dereference___00.smt2.core.smt2	OK	34	16	10	1	map__ref	Array/('Int',)/('D', 'us_rep1')	1	1	1	W1	3	44	3	12	36	0	34	0	155	0	64	27	90	12	0	6	0	36	0	147	0	55	27	84	10	0	6	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2.core.smt2	OK	35	17	10	1	map__ref	Array/('Int',)/('D', 'us_rep1')	1	1	1	W1	2	25	0	11	15	0	14	0	113	0	26	15	32	6	0	2	0	15	0	101	0	22	15	29	7	0	2	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_S212-028__update__generic_ring_buffer.adb_78_13_tester.adb_9_4_predicate_check___00.smt2.core.smt2	OK	22	7	0	0	NONE	NONE	1	1	0	W3	3	5	0	5	3	0	2	0	16	0	9	0	0	7	0	2	0	3	0	16	0	9	0	0	7	0	2	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_131_19_index_check___00.smt2.core.smt2	OK	35	16	13	1	map__ref	Array/('Int',)/('D', 'us_rep')	1	1	1	W1	1	45	68	63	59	9	56	9	797	0	122	68	0	4	0	69	0	59	9	722	0	116	68	0	4	0	69	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_47_13_index_check___00.smt2.core.smt2	OK	35	16	13	1	map__ref	Array/('Int',)/('D', 'us_rep')	1	1	1	W1	1	32	2	29	16	3	14	3	187	0	29	16	0	1	0	17	0	16	3	173	0	27	16	0	1	0	17	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2.core.smt2	OK	35	16	13	1	map__ref	Array/('Int',)/('D', 'us_rep')	1	1	1	W1	1	38	28	51	35	5	32	5	422	0	77	32	0	4	0	36	0	35	5	372	0	73	32	0	4	0	36	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2.core.smt2	OK	40	19	0	0	NONE	NONE	1	1	0	W3	2	2	0	1	0	0	0	0	1	0	2	0	0	3	0	1	0	0	0	1	0	2	0	0	3	0	1	0	0
AUFDTLIRA_20200306-Kanig_spark2014bench_tagged_stacks__stacks.adb_17_19_index_check___00.smt2.core.smt2	OK	31	13	0	0	NONE	NONE	1	1	0	W3	2	7	0	5	3	0	2	0	4	0	4	0	3	0	0	1	0	3	0	4	0	4	0	3	0	0	1	0	0
