file	status	asserts	pos_forall_unit	pos_forall_split	split_whitelisted	split_refused	forall_under_binder	exists_pos	any_quant	multi_binder_unit	mbqi_exit_pred	activation_target	widen_target	engine_wl	engine_refused	engine_widen_target
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	OK	16	10	0	0	0	18	11	39	3	nested-binder-in-matrix	1	0	0	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2	OK	10	8	0	0	0	8	1	17	1	nested-binder-in-matrix	1	0	0	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/I827-015__oo__instr.adb_7_18_index_check___00.smt2	OK	29	14	0	0	0	11	1	26	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/L831-003__not_in__lcp.ads_9_54_index_check___00.smt2	OK	15	10	0	0	0	7	17	34	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/M830-004__checks__do_checks.adb_440_30_discriminant_check___00.smt2	OK	494	50	0	0	0	23	3	76	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N611-014__split_records__split_records.adb_21_39_discriminant_check___00.smt2	OK	239	11	0	0	0	9	1	21	1	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	OK	44	26	0	0	0	120	4	151	8	nested-binder-in-matrix	1	0	20	28	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.ads_43_60_precondition___00.smt2	OK	24	18	1	0	1	21	2	42	4	nested-binder-in-matrix	1	1	4	12	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N917-051__longest_common_prefix__longest_common_prefix.adb_13_35_index_check___00.smt2	OK	11	10	0	0	0	6	1	17	1	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2	OK	13	8	0	0	0	13	7	28	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_11_13_range_check___00.smt2	OK	30	13	0	0	0	6	1	20	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/Q519-015__array_cast__cast_array.ads_10_14_postcondition___00.smt2	OK	18	17	0	0	0	14	6	37	2	nested-binder-in-matrix	1	0	0	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__ok_pointers__spark04.adb_22_10_null_pointer_dereference___00.smt2	OK	48	31	0	0	0	21	10	62	7	nested-binder-in-matrix	1	0	2	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	OK	37	20	0	0	0	31	3	54	5	nested-binder-in-matrix	1	0	1	8	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_e19b11_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	OK	40	28	0	0	0	33	1	62	4	nested-binder-in-matrix	1	0	2	8	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_101_33_use_formal_vectors.ads_10_4_loop_invariant_preserv___00.smt2	OK	50	29	0	0	0	51	1	81	4	nested-binder-in-matrix	1	0	0	4	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2	OK	71	35	0	0	0	17	1	54	7	nested-binder-in-matrix	1	0	1	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.ads_33_52_overflow_check___00.smt2	OK	27	17	0	0	0	34	34	85	5	nested-binder-in-matrix	1	0	0	3	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__simple_arrays__simple_arrays.adb_674_22_assert___00.smt2	OK	8	7	0	0	0	6	0	13	1	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/K223-023__search__search.ads_8_9_postcondition___00.smt2	OK	12	10	0	0	0	11	6	27	1	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/LB28-004__loop_variant__p.adb_10_12_index_check___00.smt2	OK	13	8	0	0	0	6	1	15	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/MA11-009__invariant__kmp.adb_16_17_loop_invariant_preserv___00.smt2	OK	15	9	0	0	0	19	7	35	3	nested-binder-in-matrix	1	0	0	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N611-014__static_discr__static_discr.adb_78_30_index_check___00.smt2	OK	123	13	0	0	0	16	2	31	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	OK	44	26	0	0	0	161	4	192	8	nested-binder-in-matrix	1	0	20	28	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	OK	29	23	0	0	0	36	3	62	5	nested-binder-in-matrix	1	0	8	12	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/NA06-051__loop__indexbis.ads_5_72_index_check___00.smt2	OK	17	12	0	0	0	6	24	50	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__prefix_sum__prefixsum.ads_18_32_unreachable_branch___00.smt2	OK	9	8	0	0	0	6	1	15	1	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_218_46_frame_condition.adb_233_7_index_check___00.smt2	OK	42	13	0	0	0	6	8	27	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/Q525-025__controlling_result__fixed_string.adb_18_11_length_check___00.smt2	OK	25	20	0	0	0	14	1	35	9	nested-binder-in-matrix	1	0	0	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R125-020__comparison__longest_common_prefix.adb_11_35_overflow_check___00.smt2	OK	16	11	0	0	0	7	1	19	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_610ef4_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	OK	36	19	0	0	0	21	3	43	6	nested-binder-in-matrix	1	0	0	3	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	OK	37	20	0	0	0	20	0	40	5	nested-binder-in-matrix	1	0	1	8	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_118_8_use_formal_vectors.ads_10_4_predicate_check___00.smt2	OK	50	29	0	0	0	49	6	84	4	nested-binder-in-matrix	1	0	0	4	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	OK	37	20	0	0	0	11	2	33	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/longest_common_prefix__lcp.adb_21_30_loop_invariant_init___00.smt2	OK	15	10	0	0	0	9	4	23	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer__lexer.adb_433_13_loop_invariant_init___00.smt2	OK	115	46	0	0	0	29	14	89	6	nested-binder-in-matrix	1	0	4	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/K330-014__loop_entry__while_loops.adb_65_36_loop_invariant_init___00.smt2	OK	27	22	0	0	0	15	7	44	4	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/LB28-004__loop_variant__p.adb_85_7_loop_variant___00.smt2	OK	14	8	0	0	0	21	29	58	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/MB20-049__old_in_contract_cases__example.ads_7_62_index_check___00.smt2	OK	11	9	0	0	0	9	3	21	1	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N613-027__transitive__sorters.adb_59_20_range_check___00.smt2	OK	14	9	0	0	0	13	1	23	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	OK	44	26	0	0	0	104	6	137	8	nested-binder-in-matrix	1	0	20	28	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	OK	29	23	0	0	0	70	3	96	6	nested-binder-in-matrix	1	0	11	20	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_103_22_overflow_check4___00.smt2	OK	18	9	0	0	0	36	1	46	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	OK	59	28	0	0	0	12	1	41	2	nested-binder-in-matrix	1	0	1	5	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_86_39_frame_condition.adb_150_10_loop_invariant_preserv___00.smt2	OK	38	16	0	0	0	33	6	55	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/Q529-038__predicate__bounded_stacks.ads_18_20_integer_stacks.ads_4_1_postcondition___00.smt2	OK	83	35	0	0	0	19	1	55	7	nested-binder-in-matrix	1	0	2	10	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R226-017__image_attribute__test.adb_8_22_range_check___00.smt2	OK	27	22	0	0	0	18	1	41	4	nested-binder-in-matrix	1	0	2	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_6b0fea_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	OK	42	31	1	0	1	35	1	68	4	nested-binder-in-matrix	1	1	6	14	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_f787ed_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	OK	36	25	0	0	0	36	15	76	5	nested-binder-in-matrix	1	0	0	3	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_146_8_use_formal_vectors.ads_10_4_null_pointer_dereference___00.smt2	OK	50	30	0	0	0	55	4	89	4	nested-binder-in-matrix	1	0	0	6	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	OK	18	13	0	0	0	6	1	20	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/n_queens__queen.ads_53_44_index_check___00.smt2	OK	11	9	0	0	0	23	11	43	2	nested-binder-in-matrix	1	0	0	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer_termination__lexer.adb_514_13_loop_invariant_preserv___00.smt2	OK	115	48	0	0	0	65	36	149	4	nested-binder-in-matrix	1	0	7	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/K606-027__slice__fb20a00.adb_37_49_overflow_check___00.smt2	OK	18	13	0	0	0	11	1	25	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/M301-012__array_of_iter__iter_array.adb_21_19_assert___00.smt2	OK	14	10	0	0	0	12	4	26	1	nested-binder-in-matrix	1	0	0	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/MC06-031__dynamic_discrete__dynamic_ranges.adb_50_17_range_check___00.smt2	OK	18	9	0	0	0	7	6	22	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N617-013__vscomp2014__p.adb_9_36_loop_invariant_init___00.smt2	OK	8	7	0	0	0	6	1	14	1	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_261_42_precondition4___00.smt2	OK	44	26	0	0	0	132	4	163	8	nested-binder-in-matrix	1	0	20	28	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_47_19_precondition3___00.smt2	OK	29	23	0	0	0	91	3	117	6	nested-binder-in-matrix	1	0	11	20	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_35_16_index_check4___00.smt2	OK	14	9	0	0	0	9	7	25	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	OK	138	76	0	0	0	58	1	137	16	nested-binder-in-matrix	1	0	4	5	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2	OK	39	11	0	0	0	18	25	54	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/Q607-015__quantifiers__search_ter_p.ads_33_25_inconsistent_pre___00.smt2	OK	29	12	0	0	0	10	1	23	5	nested-binder-in-matrix	1	0	2	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R419-026__swap_ranges__swap_ranges.adb_16_14_range_check___00.smt2	OK	18	13	0	0	0	28	1	42	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_7beb29_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	OK	42	31	1	0	1	78	1	111	4	nested-binder-in-matrix	1	1	6	14	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2	OK	21	15	0	0	0	8	1	24	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/S117-008__pointer__formal_vectors.adb_182_35_use_formal_vectors.ads_10_4_null_pointer_dereference___01.smt2	OK	47	27	0	0	0	34	1	62	4	nested-binder-in-matrix	1	0	0	4	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p_max_array.adb_56_25_index_check___00.smt2	OK	18	13	0	0	0	9	1	23	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_16_13_loop_invariant_init___00.smt2	OK	63	22	0	0	0	35	1	58	3	nested-binder-in-matrix	1	0	0	3	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/string_search__string_search.adb_48_94_overflow_check___00.smt2	OK	24	19	0	0	0	19	1	39	3	nested-binder-in-matrix	1	0	0	3	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	OK	34	18	0	0	0	11	1	30	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/M318-019__expanded_name__p.adb_8_44_index_check___00.smt2	OK	14	9	0	0	0	8	1	18	3	nested-binder-in-matrix	1	0	0	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N120-055__perm__sort.adb_48_22_precondition___00.smt2	OK	21	16	0	0	0	9	1	26	4	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	OK	27	21	0	0	0	23	1	45	3	nested-binder-in-matrix	1	0	0	8	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_26_20_range_check___00.smt2	OK	23	17	3	0	3	55	8	83	3	nested-binder-in-matrix	1	1	1	13	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_54_16_precondition3___00.smt2	OK	29	23	0	0	0	85	3	111	6	nested-binder-in-matrix	1	0	11	20	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_51_39_overflow_check___00.smt2	OK	14	9	0	0	0	18	5	32	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	OK	183	96	0	0	0	64	1	164	20	nested-binder-in-matrix	1	0	5	5	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/P607-055__for_loops_on_function_calls__for_loop_iterable.adb_42_11_precondition___01.smt2	OK	38	18	0	0	0	17	1	36	1	nested-binder-in-matrix	1	0	2	2	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/Q713-033__loop_unroll__lcp.ads_17_54_overflow_check___00.smt2	OK	15	10	0	0	0	11	98	119	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R419-026__swap_ranges__swap_ranges.adb_58_26_overflow_check___00.smt2	OK	18	13	0	0	0	34	7	54	2	nested-binder-in-matrix	1	0	0	1	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_880db6_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	OK	42	31	1	0	1	66	1	99	4	nested-binder-in-matrix	1	1	6	14	1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFDTLIRA/20200306-Kanig/spark2014bench/R728-002__aggregates__pragmarc-b_strings.adb_79_22_range_check___00.smt2	OK	279	80	0	0	0	78	1	159	34	nested-binder-in-matrix	1	0	15	50	1
