file	method	bytes	logic	status	vars	asserts	atoms	equalities	eq_bool_hint	eq_share	strict	muls	rational_lits	max_numeral_digits	max_denominator_digits
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0106.smt2	token-scan	851	QF_LRA	unsat	3	1	5	0	0	0.000	0	1	0	4	2
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0127.smt2	token-scan	876	QF_LRA	sat	3	1	6	0	0	0.000	0	1	0	4	2
QF_LRA/meti-tarski/bottom-plate-mixer/bottom-plate-mixer-chunk-0011.smt2	token-scan	866	QF_LRA	sat	3	1	4	0	0	0.000	0	1	2	8	8
QF_LRA/meti-tarski/bottom-plate-mixer/bottom-plate-mixer-chunk-0019.smt2	token-scan	822	QF_LRA	sat	3	1	2	0	0	0.000	0	1	2	9	9
QF_LRA/meti-tarski/bottom-plate-mixer/bottom-plate-mixer-chunk-0051.smt2	token-scan	922	QF_LRA	sat	5	1	2	0	0	0.000	0	3	2	9	9
QF_LRA/meti-tarski/cbrt/3/cbrt-problem-3-chunk-0040.smt2	token-scan	922	QF_LRA	unsat	3	1	5	0	0	0.000	0	2	0	4	2
QF_LRA/meti-tarski/cbrt/3/cbrt-problem-3-chunk-0048.smt2	token-scan	871	QF_LRA	unsat	3	1	5	0	0	0.000	0	2	0	4	2
QF_LRA/meti-tarski/cbrt/3/cbrt-problem-3-chunk-0074.smt2	token-scan	871	QF_LRA	unsat	3	1	5	0	0	0.000	0	2	0	4	2
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0049.smt2	token-scan	956	QF_LRA	unsat	3	1	7	0	0	0.000	0	2	3	4	2
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0065.smt2	token-scan	961	QF_LRA	sat	3	1	8	0	0	0.000	0	2	3	4	2
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0097.smt2	token-scan	947	QF_LRA	sat	3	1	7	0	0	0.000	0	2	3	4	2
QF_LRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0013.smt2	token-scan	797	QF_LRA	sat	3	1	3	0	0	0.000	0	1	0	4	2
QF_LRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0142.smt2	token-scan	811	QF_LRA	sat	3	1	3	0	0	0.000	0	1	0	5	2
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0005.smt2	token-scan	789	QF_LRA	sat	3	1	3	0	0	0.000	0	1	1	4	3
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0028.smt2	token-scan	781	QF_LRA	sat	3	1	2	0	0	0.000	0	1	1	4	3
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0156.smt2	token-scan	807	QF_LRA	unsat	3	1	3	0	0	0.000	0	1	1	4	3
QF_LRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0008.smt2	token-scan	832	QF_LRA	sat	3	1	4	0	0	0.000	0	1	1	4	2
QF_LRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0056.smt2	token-scan	833	QF_LRA	sat	3	1	3	0	0	0.000	0	1	2	4	2
QF_LRA/meti-tarski/Chua/1/VC2/U/Chua-1-VC2-U-chunk-0128.smt2	token-scan	777	QF_LRA	sat	3	1	2	0	0	0.000	0	1	1	4	2
QF_LRA/meti-tarski/Chua/2/IL/L/Chua-2-IL-L-chunk-0071.smt2	token-scan	838	QF_LRA	sat	3	1	3	0	0	0.000	0	1	1	10	10
QF_LRA/meti-tarski/Chua/2/VC2/L/Chua-2-VC2-L-chunk-0048.smt2	token-scan	824	QF_LRA	sat	3	1	3	0	0	0.000	0	1	1	4	2
QF_LRA/meti-tarski/CMOS/CMOS-opamp-chunk-0016.smt2	token-scan	890	QF_LRA	sat	3	1	6	0	0	0.000	0	2	4	8	8
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0019.smt2	token-scan	879	QF_LRA	unsat	3	1	7	0	0	0.000	0	2	0	4	2
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0033.smt2	token-scan	953	QF_LRA	unsat	3	1	8	0	0	0.000	0	2	1	4	2
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0041.smt2	token-scan	889	QF_LRA	sat	3	1	7	0	0	0.000	0	2	1	4	2
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0050.smt2	token-scan	883	QF_LRA	sat	3	1	7	0	0	0.000	0	2	0	4	2
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0060.smt2	token-scan	775	QF_LRA	sat	3	1	1	0	0	0.000	0	2	0	4	2
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0097.smt2	token-scan	994	QF_LRA	unsat	3	1	9	0	0	0.000	0	2	1	4	2
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0144.smt2	token-scan	941	QF_LRA	sat	3	1	8	0	0	0.000	0	2	0	4	2
QF_LRA/meti-tarski/sin/344/3/sin-344-3-weak-chunk-0016.smt2	token-scan	954	QF_LRA	unsat	3	1	7	0	0	0.000	0	2	6	4	2
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0004.smt2	token-scan	787	QF_LRA	sat	3	1	3	0	0	0.000	0	1	1	4	2
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0014.smt2	token-scan	888	QF_LRA	sat	3	1	6	0	0	0.000	0	1	3	8	8
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0037.smt2	token-scan	888	QF_LRA	sat	3	1	6	0	0	0.000	0	1	3	8	8
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0063.smt2	token-scan	925	QF_LRA	sat	3	1	6	0	0	0.000	0	1	3	8	8
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0006.smt2	token-scan	841	QF_LRA	sat	3	1	4	0	0	0.000	0	1	2	8	8
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0014.smt2	token-scan	908	QF_LRA	unsat	3	1	6	0	0	0.000	0	1	3	8	8
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0028.smt2	token-scan	918	QF_LRA	sat	3	1	6	0	0	0.000	0	2	4	8	8
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0037.smt2	token-scan	1024	QF_LRA	sat	3	1	7	0	0	0.000	0	2	4	8	8
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0048.smt2	token-scan	1026	QF_LRA	unsat	3	1	7	0	0	0.000	0	2	4	8	8
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0007.smt2	token-scan	835	QF_LRA	sat	3	1	4	0	0	0.000	0	1	2	8	8
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0016.smt2	token-scan	906	QF_LRA	sat	3	1	6	0	0	0.000	0	1	3	8	8
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0026.smt2	token-scan	959	QF_LRA	sat	3	1	7	0	0	0.000	0	2	3	8	8
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0037.smt2	token-scan	983	QF_LRA	sat	3	1	8	0	0	0.000	0	2	3	8	8
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0046.smt2	token-scan	964	QF_LRA	sat	3	1	7	0	0	0.000	0	2	3	8	8
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0055.smt2	token-scan	995	QF_LRA	sat	3	1	7	0	0	0.000	0	2	3	8	8
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0065.smt2	token-scan	1018	QF_LRA	sat	3	1	8	1	0	0.125	0	2	3	8	8
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0089.smt2	token-scan	1021	QF_LRA	unsat	3	1	8	0	0	0.000	0	2	3	8	8
QF_LRA/meti-tarski/sin/problem/8/sin-problem-8-chunk-0011.smt2	token-scan	900	QF_LRA	sat	3	1	6	0	0	0.000	0	1	3	8	8
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0009.smt2	token-scan	895	QF_LRA	sat	3	1	5	0	0	0.000	0	1	3	8	8
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0023.smt2	token-scan	927	QF_LRA	unsat	3	1	6	0	0	0.000	0	1	3	8	8
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0008.smt2	token-scan	836	QF_LRA	sat	3	1	4	0	0	0.000	0	1	3	8	8
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0059.smt2	token-scan	918	QF_LRA	sat	3	1	7	1	0	0.143	0	1	4	8	8
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0069.smt2	token-scan	952	QF_LRA	sat	3	1	7	0	0	0.000	0	2	4	8	8
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0103.smt2	token-scan	974	QF_LRA	sat	3	1	8	0	0	0.000	0	2	4	8	8
QF_LRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0010.smt2	token-scan	893	QF_LRA	sat	3	1	5	0	0	0.000	0	1	4	8	8
QF_LRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0417.smt2	token-scan	917	QF_LRA	sat	3	1	6	0	0	0.000	0	1	4	8	8
QF_LRA/sal/gasburner/gasburner-prop3-12.smt2	token-scan	10935	QF_LRA	unsat	87	1	241	154	0	0.639	38	13	0	2	2
QF_LRA/sal/gasburner/gasburner-prop3-2.smt2	token-scan	2174	QF_LRA	unsat	17	1	41	24	0	0.585	8	3	0	2	2
QF_LRA/sal/gasburner/gasburner-prop3-9.smt2	token-scan	8307	QF_LRA	unsat	66	1	181	115	0	0.635	29	10	0	2	2
QF_LRA/sal/pursuit/pursuit-safety-5.smt2	token-scan	13336	QF_LRA	unsat	49	1	199	148	0	0.744	26	30	0	2	2
QF_LRA/sal/tgc/tgc_io-nosafe-4.smt2	token-scan	14935	QF_LRA	unsat	89	1	199	163	0	0.819	9	0	0	2	2
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-17.smt2	token-scan	75812	QF_LRA	unsat	247	1	879	693	0	0.788	68	0	0	2	2
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-1.smt2	token-scan	4607	QF_LRA	unsat	23	1	47	37	0	0.787	4	0	0	2	2
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-6.smt2	token-scan	26330	QF_LRA	unsat	93	1	307	242	0	0.788	24	0	0	2	2
QF_LRA/sal/windowreal/windowreal-safe2-1.smt2	token-scan	4679	QF_LRA	unsat	23	1	47	37	0	0.787	4	0	0	2	2
QF_LRA/sc/sc-5.base.cvc.smt2	token-scan	11376	QF_LRA	unsat	104	1	270	226	0	0.837	6	0	0	4	2
QF_LRA/spider_benchmarks/frame_prop.base.smt2	token-scan	8980	QF_LRA	unsat	58	1	181	92	0	0.508	32	3	1	2	2
QF_LRA/spider_benchmarks/fs_not_sc_seen.base.smt2	token-scan	8834	QF_LRA	unsat	58	1	177	92	0	0.520	28	3	1	2	2
QF_LRA/spider_benchmarks/no_op_accs.base.smt2	token-scan	8788	QF_LRA	unsat	58	1	177	92	0	0.520	28	3	1	2	2
QF_LRA/spider_benchmarks/pd_init_op_accs.base.smt2	token-scan	8887	QF_LRA	unsat	58	1	177	92	0	0.520	28	3	1	2	2
QF_LRA/spider_benchmarks/reint_to_least.base.smt2	token-scan	15690	QF_LRA	unsat	89	1	319	168	0	0.527	59	5	2	2	2
QF_LRA/TM/p5-driverlogNumeric_s9.smt2	token-scan	552636	QF_LRA	unsat	1789	13763	1022	1021	0	0.999	0	3	0	3	2
QF_LRA/TM/p-driverlogNumeric_s7.smt2	token-scan	80895	QF_LRA	sat	464	1926	244	243	0	0.996	0	3	0	3	2
