file	method	bytes	logic	status	vars	asserts	atoms	equalities	eq_bool_hint	eq_share	strict	muls	rational_lits	max_numeral_digits	max_denominator_digits
QF_LRA/LassoRanker/Ultimate/OpposedDisjuncts.bpl_Iteration1_Lasso_2-pieceTemplate.smt2	token-scan	792570	QF_LRA	unsat	2369	337	8173	3282	0	0.402	1375	8304	0	5	2
QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	token-scan	7842209	QF_LRA	sat	25820	40	72129	51000	0	0.707	178	82632	0	5	2
QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_7-nestedTemplate.smt2	token-scan	3250497	QF_LRA	sat	17216	25	33329	20400	0	0.612	73	40104	0	5	2
QF_LRA/LassoRanker/Ultimate/simple-scaled250.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	token-scan	12257878	QF_LRA	sat	18769	27	109220	94750	0	0.868	245	68651	0	5	2
QF_LRA/LassoRanker/Ultimate/SyntaxSupportBooleans5.bpl_Iteration1_Loop_4-pieceTemplate.smt2	token-scan	730456	QF_LRA	sat	2293	505	8847	2422	0	0.274	2205	6384	0	5	2
QF_LRA/LassoRanker/Ultimate/TelAviv-AmirMinimum.bpl_Iteration1_Loop_4-pieceTemplate.smt2	token-scan	3251654	QF_LRA	sat	10483	2080	35448	8078	0	0.228	8740	26334	0	5	2
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled50.bpl_Iteration1_Loop_4-pieceTemplate.smt2	token-scan	1910208	QF_LRA	unsat	4785	64	15053	10149	0	0.674	300	15078	0	5	2
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_7-phaseTemplate.smt2	token-scan	4604204	QF_LRA	sat	3010	31	34711	31388	0	0.904	445	12193	0	5	2
QF_LRA/latendresse/ecoliFBAyicesTest-3875-4.smt2	token-scan	250756	QF_LRA	sat	1708	2722	4429	1006	0	0.227	0	3659	8	6	4
QF_LRA/miplib/danoint-266.smt2	token-scan	114054	QF_LRA	sat	1052	1	2295	1301	0	0.567	0	456	112	4	3
QF_LRA/miplib/fixnet-5000.smt2	token-scan	164903	QF_LRA	sat	1445	1	2613	1612	0	0.617	0	1799	0	4	2
QF_LRA/miplib/opt1217--57.smt2	token-scan	223897	QF_LRA	unsat	1535	1	2468	2449	0	0.992	0	767	0	3	2
QF_LRA/miplib/pp08a-1000.smt2	token-scan	70406	QF_LRA	unsat	315	1	536	287	0	0.535	0	419	0	4	2
QF_LRA/miplib/pp08a-7349.smt2	token-scan	70406	QF_LRA	unsat	315	1	536	287	0	0.535	0	419	0	4	2
QF_LRA/miplib/vpm2-5.smt2	token-scan	90350	QF_LRA	unsat	726	1	1507	894	0	0.593	0	929	151	3	2
QF_LRA/sal/carpark/Carpark2-ausgabe-8.smt2	token-scan	59363	QF_LRA	sat	353	1	646	598	0	0.926	32	16	0	2	2
QF_LRA/sal/pursuit/pursuit-safety-16.smt2	token-scan	43119	QF_LRA	unsat	148	1	639	478	0	0.748	81	96	0	2	2
QF_LRA/sal/tgc/tgc_io-safe-13.smt2	token-scan	48784	QF_LRA	unsat	260	1	658	541	0	0.822	27	0	0	2	2
QF_LRA/sal/tgc/tgc_io-safe-20.smt2	token-scan	75229	QF_LRA	sat	393	1	1015	835	0	0.823	41	0	0	2	2
QF_LRA/sc/sc-11.base.cvc.smt2	token-scan	24192	QF_LRA	unsat	212	1	582	496	0	0.852	6	0	0	4	2
QF_LRA/sc/sc-13.base.cvc.smt2	token-scan	28520	QF_LRA	unsat	248	1	686	586	0	0.854	6	0	0	4	2
QF_LRA/sc/sc-15.base.cvc.smt2	token-scan	32848	QF_LRA	unsat	284	1	790	676	0	0.856	6	0	0	4	2
QF_LRA/sc/sc-17.base.cvc.smt2	token-scan	37176	QF_LRA	unsat	320	1	894	766	0	0.857	6	0	0	4	2
QF_LRA/sc/sc-19.base.cvc.smt2	token-scan	41504	QF_LRA	unsat	356	1	998	856	0	0.858	6	0	0	4	2
QF_LRA/sc/sc-21.base.cvc.smt2	token-scan	45832	QF_LRA	unsat	392	1	1102	946	0	0.858	6	0	0	4	2
QF_LRA/sc/sc-23.base.cvc.smt2	token-scan	50160	QF_LRA	unsat	428	1	1206	1036	0	0.859	6	0	0	4	2
QF_LRA/sc/sc-25.base.cvc.smt2	token-scan	54488	QF_LRA	unsat	464	1	1310	1126	0	0.860	6	0	0	4	2
QF_LRA/sc/sc-27.base.cvc.smt2	token-scan	58816	QF_LRA	unsat	500	1	1414	1216	0	0.860	6	0	0	4	2
QF_LRA/sc/sc-29.base.cvc.smt2	token-scan	63144	QF_LRA	unsat	536	1	1518	1306	0	0.860	6	0	0	4	2
QF_LRA/sc/sc-31.base.cvc.smt2	token-scan	67472	QF_LRA	unsat	572	1	1622	1396	0	0.861	6	0	0	4	2
QF_LRA/sc/sc-33.base.cvc.smt2	token-scan	71800	QF_LRA	unsat	608	1	1726	1486	0	0.861	6	0	0	4	2
QF_LRA/sc/sc-35.base.cvc.smt2	token-scan	76128	QF_LRA	unsat	644	1	1830	1576	0	0.861	6	0	0	4	2
QF_LRA/sc/sc-37.base.cvc.smt2	token-scan	80456	QF_LRA	unsat	680	1	1934	1666	0	0.861	6	0	0	4	2
QF_LRA/sc/sc-39.base.cvc.smt2	token-scan	84784	QF_LRA	unsat	716	1	2038	1756	0	0.862	6	0	0	4	2
QF_LRA/sc/sc-7.base.cvc.smt2	token-scan	15567	QF_LRA	unsat	140	1	374	316	0	0.845	6	0	0	4	2
QF_LRA/sc/sc-9.base.cvc.smt2	token-scan	19864	QF_LRA	unsat	176	1	478	406	0	0.849	6	0	0	4	2
QF_LRA/TM/p7-driverlogNumeric_s8.smt2	token-scan	709580	QF_LRA	sat	2102	17731	1069	1068	0	0.999	0	3	0	3	2
